Index	Vtop	Itop	Resistance
1	 0 V	 -30.010 pA	 0 ohm
2	 35.0 mV	 -17.840 pA	 1.961883408 Gohm
3	 70.0 mV	 21.980 pA	 3.184713376 Gohm
4	 105.0 mV	 41.900 pA	 2.505966587 Gohm
5	 140.0 mV	 2.650 pA	 52.83018868 Gohm
6	 175.0 mV	 -24.020 pA	 7.285595337 Gohm
7	 210.0 mV	 -16.140 pA	 13.01115242 Gohm
8	 245.0 mV	 28.060 pA	 8.731290093 Gohm
9	 280.0 mV	 17.600 pA	 15.90909091 Gohm
10	 315.0 mV	 -22.750 pA	 13.84615385 Gohm
11	 350.0 mV	 -41.220 pA	 8.491023775 Gohm
12	 385.0 mV	 -3.270 pA	 117.7370031 Gohm
13	 420.0 mV	 27.600 pA	 15.21739130 Gohm
14	 455.0 mV	 16.310 pA	 27.89699571 Gohm
15	 490.0 mV	 -25.210 pA	 19.43673146 Gohm
16	 525.0 mV	 -39.630 pA	 13.24753974 Gohm
17	 560.0 mV	 190 fA	 2.947368421 Tohm
18	 595.0 mV	 25.910 pA	 22.96410652 Gohm
19	 630.0 mV	 19.680 pA	 32.01219512 Gohm
20	 665.0 mV	 -23.500 pA	 28.29787234 Gohm
21	 700.0 mV	 -34.220 pA	 20.45587376 Gohm
22	 735.0 mV	 10.850 pA	 67.74193548 Gohm
23	 770.0 mV	 32.770 pA	 23.49710101 Gohm
24	 805.0 mV	 25.500 pA	 31.56862745 Gohm
25	 840.0 mV	 -17.000 pA	 49.41176471 Gohm
26	 875.0 mV	 -24.310 pA	 35.99341835 Gohm
27	 910.0 mV	 22.650 pA	 40.17660044 Gohm
28	 945.0 mV	 49.860 pA	 18.95306859 Gohm
29	 980.0 mV	 35.200 pA	 27.84090909 Gohm
30	 1.0150 V	 -610 fA	 1.663934426 Tohm
31	 1.0500 V	 2.050 pA	 512.1951220 Gohm
32	 1.0850 V	 51.380 pA	 21.11716621 Gohm
33	 1.1200 V	 85.950 pA	 13.03083188 Gohm
34	 1.1550 V	 66.200 pA	 17.44712991 Gohm
35	 1.1900 V	 34.720 pA	 34.27419355 Gohm
36	 1.2250 V	 55.010 pA	 22.26867842 Gohm
37	 1.2600 V	 109.010 pA	 11.55857261 Gohm
38	 1.2950 V	 148.840 pA	 8.700618113 Gohm
39	 1.3300 V	 116.020 pA	 11.46354077 Gohm
40	 1.3650 V	 105.740 pA	 12.90902213 Gohm
41	 1.4000 V	 171.520 pA	 8.162313433 Gohm
42	 1.4350 V	 217.160 pA	 6.608030945 Gohm
43	 1.4700 V	 233.140 pA	 6.305224329 Gohm
44	 1.5050 V	 219.490 pA	 6.856804410 Gohm
45	 1.5400 V	 247.300 pA	 6.227254347 Gohm
46	 1.5750 V	 328.890 pA	 4.788835173 Gohm
47	 1.6100 V	 396.840 pA	 4.057050701 Gohm
48	 1.6450 V	 415.910 pA	 3.955182612 Gohm
49	 1.6800 V	 435.170 pA	 3.860560241 Gohm
50	 1.7150 V	 508.370 pA	 3.373527155 Gohm
51	 1.7500 V	 626.350 pA	 2.793965036 Gohm
52	 1.7850 V	 737.650 pA	 2.419846811 Gohm
53	 1.8200 V	 802.050 pA	 2.269185213 Gohm
54	 1.8550 V	 942.720 pA	 1.967710455 Gohm
55	 1.8900 V	 1.14430 nA	 1.651664773 Gohm
56	 1.9250 V	 1.35510 nA	 1.420559368 Gohm
57	 1.9600 V	 1.57770 nA	 1.242314762 Gohm
58	 1.9950 V	 1.80930 nA	 1.102636379 Gohm
59	 2.0300 V	 2.14960 nA	 944.3617417 Mohm
60	 2.0650 V	 2.57810 nA	 800.9774640 Mohm
61	 2.1000 V	 3.11500 nA	 674.1573034 Mohm
62	 2.1350 V	 4.14250 nA	 515.3892577 Mohm
63	 2.1700 V	 4.97280 nA	 436.3738739 Mohm
64	 2.2050 V	 6.09070 nA	 362.0273532 Mohm
65	 2.2400 V	 9.54240 nA	 234.7417840 Mohm
66	 2.2750 V	 12.1516 nA	 187.2181441 Mohm
67	 2.3100 V	 14.3860 nA	 160.5727791 Mohm
68	 2.3450 V	 16.7870 nA	 139.6914279 Mohm
69	 2.3800 V	 30.4294 nA	 78.21383267 Mohm
70	 2.4150 V	 49.8632 nA	 48.43251135 Mohm
71	 2.4500 V	C 5.00080 uA	 489.9216125 kohm
72	 2.4850 V	C 5.00060 uA	 496.9403672 kohm
73	 2.5200 V	C 5.00060 uA	 503.9395273 kohm
74	 2.5550 V	C 5.00070 uA	 510.9284700 kohm
75	 2.5900 V	C 5.00070 uA	 517.9274902 kohm
76	 2.6250 V	C 5.00060 uA	 524.9370076 kohm
77	 2.6600 V	C 5.00060 uA	 531.9361677 kohm
78	 2.6950 V	C 5.00050 uA	 538.9461054 kohm
79	 2.7300 V	C 5.00060 uA	 545.9344879 kohm
80	 2.7650 V	C 5.00030 uA	 552.9668220 kohm
81	 2.8000 V	C 5.00060 uA	 559.9328081 kohm
82	 2.8350 V	C 5.00050 uA	 566.9433057 kohm
83	 2.8700 V	C 5.00060 uA	 573.9311283 kohm
84	 2.9050 V	C 5.00060 uA	 580.9302884 kohm
85	 2.9400 V	C 5.00050 uA	 587.9412059 kohm
86	 2.9750 V	C 5.00050 uA	 594.9405059 kohm
87	 3.0100 V	C 5.00050 uA	 601.9398060 kohm
88	 3.0450 V	C 5.00060 uA	 608.9269288 kohm
89	 3.0800 V	C 5.00050 uA	 615.9384062 kohm
90	 3.1150 V	C 5.00050 uA	 622.9377062 kohm
91	 3.1500 V	C 5.00050 uA	 629.9370063 kohm
92	 3.1850 V	C 5.00060 uA	 636.9235692 kohm
93	 3.2200 V	C 5.00060 uA	 643.9227293 kohm
94	 3.2550 V	C 5.00060 uA	 650.9218894 kohm
95	 3.2900 V	C 5.00050 uA	 657.9342066 kohm
96	 3.3250 V	C 5.00060 uA	 664.9202096 kohm
97	 3.3600 V	C 5.00060 uA	 671.9193697 kohm
98	 3.3950 V	C 5.00080 uA	 678.8913774 kohm
99	 3.4300 V	C 5.00050 uA	 685.9314069 kohm
100	 3.4650 V	C 5.00060 uA	 692.9168500 kohm
101	 3.5000 V	C 5.00070 uA	 699.9020137 kohm
102	 3.5000 V	C 5.00050 uA	 699.9300070 kohm
103	 3.4650 V	C 5.00050 uA	 692.9307069 kohm
104	 3.4300 V	C 5.00050 uA	 685.9314069 kohm
105	 3.3950 V	C 5.00060 uA	 678.9185298 kohm
106	 3.3600 V	C 5.00060 uA	 671.9193697 kohm
107	 3.3250 V	C 5.00060 uA	 664.9202096 kohm
108	 3.2900 V	C 5.00050 uA	 657.9342066 kohm
109	 3.2550 V	C 5.00050 uA	 650.9349065 kohm
110	 3.2200 V	C 5.00070 uA	 643.9098526 kohm
111	 3.1850 V	C 5.00050 uA	 636.9363064 kohm
112	 3.1500 V	C 5.00050 uA	 629.9370063 kohm
113	 3.1150 V	C 5.00050 uA	 622.9377062 kohm
114	 3.0800 V	C 5.00060 uA	 615.9260889 kohm
115	 3.0450 V	C 5.00060 uA	 608.9269288 kohm
116	 3.0100 V	C 5.00070 uA	 601.9157318 kohm
117	 2.9750 V	C 5.00070 uA	 594.9167117 kohm
118	 2.9400 V	C 5.00060 uA	 587.9294485 kohm
119	 2.9050 V	C 5.00070 uA	 580.9186714 kohm
120	 2.8700 V	C 5.00060 uA	 573.9311283 kohm
121	 2.8350 V	C 5.00060 uA	 566.9319682 kohm
122	 2.8000 V	C 5.00050 uA	 559.9440056 kohm
123	 2.7650 V	C 5.00080 uA	 552.9115342 kohm
124	 2.7300 V	C 5.00050 uA	 545.9454055 kohm
125	 2.6950 V	C 5.00060 uA	 538.9353278 kohm
126	 2.6600 V	C 5.00060 uA	 531.9361677 kohm
127	 2.6250 V	C 5.00060 uA	 524.9370076 kohm
128	 2.5900 V	C 5.00060 uA	 517.9378475 kohm
129	 2.5550 V	C 5.00050 uA	 510.9489051 kohm
130	 2.5200 V	C 5.00060 uA	 503.9395273 kohm
131	 2.4850 V	C 5.00060 uA	 496.9403672 kohm
132	 2.4500 V	C 5.00060 uA	 489.9412071 kohm
133	 2.4150 V	C 5.00050 uA	 482.9517048 kohm
134	 2.3800 V	C 5.00060 uA	 475.9428869 kohm
135	 2.3450 V	C 5.00060 uA	 468.9437268 kohm
136	 2.3100 V	C 5.00060 uA	 461.9445667 kohm
137	 2.2750 V	C 5.00060 uA	 454.9454066 kohm
138	 2.2400 V	C 5.00060 uA	 447.9462465 kohm
139	 2.2050 V	C 5.00060 uA	 440.9470863 kohm
140	 2.1700 V	C 5.00060 uA	 433.9479262 kohm
141	 2.1350 V	C 5.00060 uA	 426.9487661 kohm
142	 2.1000 V	C 5.00060 uA	 419.9496060 kohm
143	 2.0650 V	C 5.00060 uA	 412.9504459 kohm
144	 2.0300 V	C 5.00060 uA	 405.9512858 kohm
145	 1.9950 V	C 5.00060 uA	 398.9521257 kohm
146	 1.9600 V	C 5.00040 uA	 391.9686425 kohm
147	 1.9250 V	C 5.00060 uA	 384.9538055 kohm
148	 1.8900 V	C 5.00060 uA	 377.9546454 kohm
149	 1.8550 V	C 5.00060 uA	 370.9554853 kohm
150	 1.8200 V	C 5.00060 uA	 363.9563252 kohm
151	 1.7850 V	C 5.00050 uA	 356.9643036 kohm
152	 1.7500 V	C 5.00050 uA	 349.9650035 kohm
153	 1.7150 V	C 5.00060 uA	 342.9588449 kohm
154	 1.6800 V	C 5.00060 uA	 335.9596848 kohm
155	 1.6450 V	C 5.00060 uA	 328.9605247 kohm
156	 1.6100 V	C 5.00060 uA	 321.9613646 kohm
157	 1.5750 V	C 5.00050 uA	 314.9685031 kohm
158	 1.5400 V	C 5.00050 uA	 307.9692031 kohm
