Index	Vtop	Itop	Resistance
1	 0 V	 -86.880 pA	 0 ohm
2	 10.0 mV	 148.020 nA	 67.55843805 kohm
3	 20.0 mV	 314.680 nA	 63.55662896 kohm
4	 30.0 mV	 447.080 nA	 67.10208464 kohm
5	 40.0 mV	 621.460 nA	 64.36456087 kohm
6	 50.0 mV	 749.780 nA	 66.68622796 kohm
7	 60.0 mV	 1.038800 uA	 57.75895264 kohm
8	 70.0 mV	 1.094920 uA	 63.93161144 kohm
9	 80.0 mV	 1.29850 uA	 61.60954948 kohm
10	 90.0 mV	 1.39500 uA	 64.51612903 kohm
11	 100.0 mV	 1.57190 uA	 63.61727845 kohm
12	 110.0 mV	 1.74760 uA	 62.94346532 kohm
13	 120.0 mV	 2.01950 uA	 59.42064868 kohm
14	 130.0 mV	 2.14220 uA	 60.68527682 kohm
15	 140.0 mV	 2.33810 uA	 59.87767846 kohm
16	 150.0 mV	 2.61720 uA	 57.31315910 kohm
17	 160.0 mV	 2.76010 uA	 57.96891417 kohm
18	 170.0 mV	 3.07640 uA	 55.25939410 kohm
19	 180.0 mV	 3.19290 uA	 56.37508221 kohm
20	 190.0 mV	 3.45740 uA	 54.95459015 kohm
21	 200.0 mV	 3.71410 uA	 53.84884629 kohm
22	 210.0 mV	 4.07870 uA	 51.48699340 kohm
23	 220.0 mV	 4.55420 uA	 48.30705722 kohm
24	 230.0 mV	 4.74640 uA	 48.45777853 kohm
25	 240.0 mV	 5.08870 uA	 47.16332266 kohm
26	 250.0 mV	 5.46720 uA	 45.72724612 kohm
27	 260.0 mV	 5.80720 uA	 44.77200716 kohm
28	 270.0 mV	 6.02990 uA	 44.77686197 kohm
29	 280.0 mV	 6.46680 uA	 43.29807633 kohm
30	 290.0 mV	 6.56250 uA	 44.19047619 kohm
31	 300.0 mV	 6.76190 uA	 44.36622843 kohm
32	 310.0 mV	 7.22600 uA	 42.90063659 kohm
33	 320.0 mV	 7.57060 uA	 42.26877658 kohm
34	 330.0 mV	 8.01280 uA	 41.18410543 kohm
35	 340.0 mV	 8.47340 uA	 40.12556943 kohm
36	 350.0 mV	 8.83360 uA	 39.62144539 kohm
37	 360.0 mV	 9.33160 uA	 38.57859317 kohm
38	 370.0 mV	 9.76280 uA	 37.89896341 kohm
39	 380.0 mV	 9.82780 uA	 38.66582552 kohm
