Index	Vtop	Itop	Resistance
1	 0 V	 23.8928 nA	 0 ohm
2	 -10.0 mV	 -77.9000 uA	 128.3697047 ohm
3	 -20.0 mV	 -155.480 uA	 128.6339079 ohm
4	 -30.0 mV	 -233.540 uA	 128.4576518 ohm
5	 -40.0 mV	 -311.640 uA	 128.3532281 ohm
6	 -50.0 mV	 -389.100 uA	 128.5016705 ohm
7	 -60.0 mV	 -467.360 uA	 128.3806915 ohm
8	 -70.0 mV	 -545.520 uA	 128.3179352 ohm
9	 -80.0 mV	 -623.060 uA	 128.3985491 ohm
10	 -90.0 mV	 -701.300 uA	 128.3330957 ohm
11	 -100.0 mV	 -779.540 uA	 128.2807810 ohm
12	 -110.0 mV	 -857.040 uA	 128.3487352 ohm
13	 -120.0 mV	 -935.180 uA	 128.3175431 ohm
14	 -130.0 mV	 -1.013760 mA	 128.2354798 ohm
15	 -140.0 mV	 -1.090960 mA	 128.3273447 ohm
16	 -150.0 mV	 -1.16880 mA	 128.3367556 ohm
17	 -160.0 mV	 -1.24640 mA	 128.3697047 ohm
18	 -170.0 mV	 -1.32340 mA	 128.4570047 ohm
19	 -180.0 mV	 -1.40060 mA	 128.5163501 ohm
20	 -190.0 mV	 -1.47580 mA	 128.7437322 ohm
21	 -200.0 mV	 -1.55220 mA	 128.8493751 ohm
22	 -210.0 mV	 -1.62500 mA	 129.2307692 ohm
23	 -220.0 mV	 -1.69900 mA	 129.4879341 ohm
24	 -230.0 mV	 -1.76980 mA	 129.9581874 ohm
25	 -240.0 mV	 -1.84320 mA	 130.2083333 ohm
26	 -250.0 mV	 -1.91760 mA	 130.3712975 ohm
27	 -260.0 mV	 -1.99400 mA	 130.3911735 ohm
28	 -270.0 mV	 -2.07460 mA	 130.1455702 ohm
29	 -280.0 mV	 -2.15500 mA	 129.9303944 ohm
30	 -290.0 mV	 -2.23440 mA	 129.7887576 ohm
31	 -300.0 mV	 -2.30480 mA	 130.1631378 ohm
32	 -310.0 mV	 -2.36080 mA	 131.3114199 ohm
33	 -320.0 mV	 -2.39080 mA	 133.8464112 ohm
34	 -330.0 mV	 -2.40660 mA	 137.1229120 ohm
