time (s)	Current (A)	Current (A)
	Device 1	Device 2
0	0	0
2.609E-8	2.088E-6	5.567E-11
7.828E-8	6.263E-6	1.67E-10
1.827E-7	1.461E-5	3.897E-10
3.914E-7	3.131E-5	8.35E-10
8.089E-7	6.471E-5	1.726E-9
1.644E-6	1.315E-4	3.507E-9
3.314E-6	2.651E-4	7.07E-9
6.654E-6	5.323E-4	1.42E-8
1.333E-5	0.001067	2.845E-8
2.669E-5	0.002136	5.695E-8
5.341E-5	0.004273	1.14E-7
1.034E-4	0.008273	2.206E-7
1.534E-4	0.01227	3.273E-7
2.034E-4	0.01627	4.34E-7
2.534E-4	0.02027	5.407E-7
3.034E-4	0.02427	6.474E-7
3.534E-4	0.02827	7.542E-7
4.034E-4	0.03227	8.609E-7
4.534E-4	0.03627	9.677E-7
5.034E-4	0.04027	1.075E-6
5.534E-4	0.04427	1.181E-6
6.034E-4	0.04827	1.288E-6
6.534E-4	0.05227	1.395E-6
7.034E-4	0.05627	1.502E-6
7.534E-4	0.06027	1.609E-6
8.034E-4	0.06427	1.716E-6
8.534E-4	0.06827	1.824E-6
9.034E-4	0.07227	1.931E-6
9.534E-4	0.07627	2.038E-6
0.001003	0.08027	2.145E-6
0.001053	0.08427	2.253E-6
0.001103	0.08827	2.36E-6
0.001153	0.09227	2.468E-6
0.001203	0.09627	2.576E-6
0.001253	0.1003	2.683E-6
0.001303	0.1043	2.791E-6
0.001353	0.1083	2.899E-6
0.001403	0.1123	3.007E-6
0.001453	0.1163	3.115E-6
0.001503	0.1203	3.223E-6
0.001553	0.1243	3.332E-6
0.001603	0.1283	3.44E-6
0.001653	0.1323	3.549E-6
0.001703	0.1363	3.657E-6
0.001753	0.1403	3.766E-6
0.001803	0.1443	3.875E-6
0.001853	0.1483	3.984E-6
0.001903	0.1523	4.093E-6
0.001953	0.1563	4.202E-6
0.002003	0.1603	4.312E-6
0.002053	0.1643	4.421E-6
0.002103	0.1683	4.531E-6
0.002153	0.1723	4.641E-6
0.002203	0.1763	4.751E-6
0.002253	0.1803	4.861E-6
0.002303	0.1843	4.971E-6
0.002353	0.1883	5.082E-6
0.002403	0.1923	5.192E-6
0.002453	0.1963	5.303E-6
0.002503	0.2003	5.414E-6
0.002553	0.2043	5.525E-6
0.002603	0.2083	5.636E-6
0.002653	0.2123	5.748E-6
0.002703	0.2163	5.86E-6
0.002753	0.2203	5.971E-6
0.002803	0.2243	6.083E-6
0.002853	0.2283	6.196E-6
0.002903	0.2323	6.308E-6
0.002953	0.2363	6.421E-6
0.003003	0.2403	6.533E-6
0.003053	0.2443	6.646E-6
0.003103	0.2483	6.76E-6
0.003153	0.2523	6.873E-6
0.003203	0.2563	6.987E-6
0.003253	0.2603	7.1E-6
0.003303	0.2643	7.214E-6
0.003353	0.2683	7.329E-6
0.003403	0.2723	7.443E-6
0.003453	0.2763	7.558E-6
0.003503	0.2803	7.673E-6
0.003553	0.2843	7.788E-6
0.003603	0.2883	7.903E-6
0.003653	0.2923	8.019E-6
0.003703	0.2963	8.135E-6
0.003753	0.3003	8.251E-6
0.003803	0.3043	8.367E-6
0.003853	0.3083	8.484E-6
0.003903	0.3123	8.6E-6
0.003953	0.3163	8.718E-6
0.004003	0.3203	8.835E-6
0.004053	0.3243	8.952E-6
0.004103	0.3283	9.07E-6
0.004153	0.3323	9.188E-6
0.004203	0.3363	9.307E-6
0.004253	0.3403	9.425E-6
0.004303	0.3443	9.544E-6
0.004353	0.3483	9.663E-6
0.004403	0.3523	9.783E-6
0.004453	0.3563	9.903E-6
0.004503	0.3603	1.002E-5
0.004553	0.3643	1.014E-5
0.004603	0.3683	1.026E-5
