time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0	10000	17000
2.609E-8	10000	17000
7.828E-8	10000	17000
1.827E-7	10000	17000
3.914E-7	10000	17000
8.089E-7	10000	17000
1.644E-6	10000	17000
3.314E-6	10000	17000
6.654E-6	10000	17000
1.333E-5	10000	17000
2.669E-5	10000	17000
5.341E-5	10000	17000
1.034E-4	10000	17000
1.534E-4	10000	17000
2.034E-4	10000	17000
2.534E-4	10000	17000
3.034E-4	10000	17000
3.534E-4	10000	17000
4.034E-4	10000	17000
4.534E-4	10000	17000
5.034E-4	10000	17000
5.534E-4	10010	17000
6.034E-4	10010	17000
6.534E-4	10010	17000
7.034E-4	10010	17000
7.534E-4	10010	17000
8.034E-4	10010	17000
8.534E-4	10010	17000
9.034E-4	10010	17000
9.534E-4	10020	17000
0.001003	10020	17000
0.001053	10020	17000
0.001103	10020	17000
0.001153	10020	17000
0.001203	10030	17000
0.001253	10030	17000
0.001303	10030	17000
0.001353	10030	17000
0.001403	10040	17000
0.001453	10040	17000
0.001503	10040	17000
0.001553	10040	17000
0.001603	10050	17000
0.001653	10050	17000
0.001703	10050	17000
0.001753	10050	17000
0.001803	10060	17000
0.001853	10060	17000
0.001903	10060	17000
0.001953	10070	17000
0.002003	10070	17000
0.002053	10070	17000
0.002103	10080	17000
0.002153	10080	17000
0.002203	10090	17000
0.002253	10090	17000
0.002303	10090	17000
0.002353	10100	17000
0.002403	10100	17000
0.002453	10110	17000
0.002503	10110	17000
0.002553	10120	17000
0.002603	10120	17000
0.002653	10120	17000
0.002703	10130	17000
0.002753	10130	17000
0.002803	10140	17000
0.002853	10140	17000
0.002903	10150	17000
0.002953	10150	17000
0.003003	10160	17000
0.003053	10160	17000
0.003103	10170	17000
0.003153	10180	17000
0.003203	10180	17000
0.003253	10190	17000
0.003303	10190	17000
0.003353	10200	17000
0.003403	10200	17000
0.003453	10210	17000
0.003503	10220	17000
0.003553	10220	17000
0.003603	10230	17000
0.003653	10240	17000
0.003703	10240	17000
0.003753	10250	17000
0.003803	10250	17000
0.003853	10260	17000
0.003903	10270	17000
0.003953	10270	17000
0.004003	10280	17000
0.004053	10290	17000
0.004103	10300	17000
0.004153	10300	17000
0.004203	10310	17000
0.004253	10320	17000
0.004303	10330	17000
0.004353	10330	17000
0.004403	10340	17000
0.004453	10350	17000
0.004503	10360	17000
0.004553	10360	17000
0.004603	10370	17000
0.004653	10380	17000
0.004703	10390	17000
0.004753	10400	17000
0.004803	10400	17000
0.004853	10410	17000
0.004903	10420	17000
0.004953	10430	17000
0.005003	10440	17000
0.005053	10450	17000
0.005103	10460	17000
0.005153	10470	17000
0.005203	10470	17000
0.005253	10480	17000
0.005303	10490	17000
0.005353	10500	17000
0.005403	10510	17000
0.005453	10520	17000
0.005503	10530	17000
0.005553	10540	17000
0.005603	10550	17000
0.005653	10560	17000
0.005703	10570	17000
0.005753	10580	17000
0.005803	10590	17000
0.005853	10600	17000
0.005903	10610	17000
0.005953	10620	17000
0.006003	10630	17000
0.006053	10640	17000
0.006103	10650	17000
0.006153	10660	17000
0.006203	10670	17000
0.006253	10680	17000
0.006303	10690	17000
0.006353	10700	17000
0.006403	10710	17000
0.006453	10720	17000
0.006503	10730	17000
0.006553	10740	17000
0.006603	10760	17000
0.006653	10770	17000
0.006703	10780	17000
0.006753	10790	17000
0.006803	10800	17000
0.006853	10810	17000
0.006903	10820	17000
0.006953	10830	17000
0.007003	10850	17000
0.007053	10860	17000
0.007103	10870	17000
0.007153	10880	17000
0.007203	10890	17000
0.007253	10910	17000
0.007303	10920	17000
0.007353	10930	17000
0.007403	10940	17000
0.007453	10950	17000
0.007503	10970	17000
0.007553	10980	17000
0.007603	10990	17000
0.007653	11000	17000
0.007703	11020	17000
0.007753	11030	17000
0.007803	11040	17000
0.007853	11050	17000
0.007903	11070	17000
0.007953	11080	17000
0.008003	11090	17000
0.008053	11100	17000
0.008103	11120	17000
0.008153	11130	17000
0.008203	11140	17000
0.008253	11160	17000
0.008303	11170	17000
0.008353	11180	17000
0.008403	11200	17000
0.008453	11210	17000
0.008503	11220	17000
0.008553	11240	17000
0.008603	11250	17000
0.008653	11260	17000
0.008703	11280	17000
0.008753	11290	17000
0.008803	11300	17000
0.008853	11320	17000
0.008903	11330	17000
0.008953	11340	17000
0.009003	11360	17000
0.009053	11370	17000
0.009103	11390	17000
0.009153	11400	17000
0.009203	11410	17000
0.009253	11430	17000
0.009303	11440	17000
0.009353	11460	17000
0.009403	11470	17000
0.009453	11490	17000
0.009503	11500	17000
0.009553	11510	17000
0.009603	11530	17000
0.009653	11540	17000
0.009703	11560	17000
0.009753	11570	17000
0.009803	11590	17000
0.009853	11600	17000
0.009903	11610	17000
0.009953	11630	17000
0.01	11640	17000
0.01005	11660	17000
0.0101	11670	17000
0.01015	11690	17000
0.0102	11700	17000
0.01025	11720	17000
0.0103	11730	17000
0.01035	11750	17000
0.0104	11760	17000
0.01045	11780	17000
0.0105	11790	17000
0.01055	11810	17000
0.0106	11820	17000
0.01065	11840	17000
0.0107	11850	17000
0.01075	11870	17000
0.0108	11880	17000
0.01085	11900	17000
0.0109	11910	17000
0.01095	11930	17000
0.011	11940	17000
0.01105	11960	17000
0.0111	11970	17000
0.01115	11990	17000
0.0112	12000	17000
0.01125	12020	17000
0.0113	12030	17000
0.01135	12050	17000
0.0114	12060	17000
0.01145	12080	17000
0.0115	12090	17000
0.01155	12110	17000
0.0116	12130	17000
0.01165	12140	17000
0.0117	12160	17000
0.01175	12170	17000
0.0118	12190	17000
0.01185	12200	17000
0.0119	12220	17000
0.01195	12230	17000
0.012	12250	17000
0.01205	12260	17000
0.0121	12280	17000
0.01215	12290	17000
0.0122	12310	17000
0.01225	12330	17000
0.0123	12340	17000
0.01235	12360	17000
0.0124	12370	17000
0.01245	12390	17000
0.0125	12400	17000
0.01255	12420	17000
0.0126	12430	17000
0.01265	12450	17000
0.0127	12470	17000
0.01275	12480	17000
0.0128	12500	17000
0.01285	12510	17000
0.0129	12530	17000
0.01295	12540	17000
0.013	12560	17000
0.01305	12570	17000
0.0131	12590	17000
0.01315	12610	17000
0.0132	12620	17000
0.01325	12640	16990
0.0133	12650	16990
0.01335	12670	16990
0.0134	12680	16990
0.01345	12700	16990
0.0135	12710	16990
0.01355	12730	16980
0.0136	12750	16980
0.01365	12760	16980
0.0137	12780	16980
0.01375	12790	16970
0.0138	12810	16970
0.01385	12820	16960
0.0139	12840	16960
0.01395	12850	16960
0.014	12870	16950
0.01405	12880	16950
0.0141	12900	16940
0.01415	12920	16930
0.0142	12930	16930
0.01425	12950	16920
0.0143	12960	16910
0.01435	12980	16900
0.0144	12990	16890
0.01445	13010	16880
0.0145	13020	16870
0.01455	13040	16860
0.0146	13050	16850
0.01465	13070	16840
0.0147	13080	16830
0.01475	13100	16810
0.0148	13110	16800
0.01485	13130	16780
0.0149	13150	16770
0.01495	13160	16750
0.015	13180	16730
0.01505	13190	16720
0.0151	13210	16700
0.01515	13220	16680
0.0152	13240	16660
0.01525	13250	16640
0.0153	13270	16610
0.01535	13280	16590
0.0154	13300	16570
0.01545	13310	16540
0.0155	13330	16520
0.01555	13340	16490
0.0156	13360	16470
0.01565	13370	16440
0.0157	13390	16410
0.01575	13400	16390
0.0158	13420	16360
0.01585	13430	16330
0.0159	13450	16300
0.01595	13460	16270
0.016	13480	16240
0.01605	13490	16210
0.0161	13510	16170
0.01615	13520	16140
0.0162	13540	16110
0.01625	13550	16080
0.0163	13570	16040
0.01635	13580	16010
0.0164	13600	15980
0.01645	13610	15940
0.0165	13630	15910
0.01655	13640	15870
0.0166	13650	15840
0.01665	13670	15800
0.0167	13680	15770
0.01675	13700	15730
0.0168	13710	15700
0.01685	13730	15660
0.0169	13740	15630
0.01695	13760	15590
0.017	13770	15560
0.01705	13790	15520
0.0171	13800	15480
0.01715	13810	15450
0.0172	13830	15410
0.01725	13840	15380
0.0173	13860	15340
0.01735	13870	15310
0.0174	13890	15270
0.01745	13900	15240
0.0175	13920	15200
0.01755	13930	15160
0.0176	13940	15130
0.01765	13960	15090
0.0177	13970	15060
0.01775	13990	15020
0.0178	14000	14990
0.01785	14010	14950
0.0179	14030	14920
0.01795	14040	14880
0.018	14060	14850
0.01805	14070	14810
0.0181	14080	14780
0.01815	14100	14750
0.0182	14110	14710
0.01825	14130	14680
0.0183	14140	14640
0.01835	14150	14610
0.0184	14170	14580
0.01845	14180	14540
0.0185	14190	14510
0.01855	14210	14480
0.0186	14220	14440
0.01865	14240	14410
0.0187	14250	14380
0.01875	14260	14350
0.0188	14280	14310
0.01885	14290	14280
0.0189	14300	14250
0.01895	14320	14220
0.019	14330	14190
0.01905	14340	14150
0.0191	14360	14120
0.01915	14370	14090
0.0192	14380	14060
0.01925	14400	14030
0.0193	14410	14000
0.01935	14420	13970
0.0194	14430	13940
0.01945	14450	13910
0.0195	14460	13880
0.01955	14470	13850
0.0196	14490	13820
0.01965	14500	13790
0.0197	14510	13760
0.01975	14520	13730
0.0198	14540	13700
0.01985	14550	13670
0.0199	14560	13640
0.01995	14570	13620
0.02	14590	13590
0.02005	14600	13560
0.0201	14610	13530
0.02015	14620	13500
0.0202	14640	13480
