Pulse Number	Voltage (V)	Measurements (Ù)	Model (Ù)	VTEAM (Ù)
1	-1.2	4930.408203	4929.88581443413	4934.90937668587
2	-1.2	4933.105957	4929.77177606054	4934.81892651055
3	-1.2	4930.897949	4929.65788453148	4934.72859916107
4	-1.2	4931.90332	4929.54413950041	4934.63839432558
5	-1.2	4932.533691	4929.43054062202	4934.54831169344
6	-1.2	4935.006836	4929.31708755223	4934.45835095512
7	-1.2	4933.821777	4929.20377994815	4934.36851180225
8	-1.2	4932.419434	4929.09061746811	4934.2787939276
9	-1.2	4931.178711	4928.97759977161	4934.18919702506
10	-1.2	4929.318848	4928.86472651938	4934.09972078966
11	-1.2	4931.047852	4928.75199737333	4934.01036491756
12	-1.2	4928.952637	4928.63941199653	4933.92112910601
13	-1.2	4928.660645	4928.52697005325	4933.83201305339
14	-1.2	4922.368164	4928.41467120892	4933.74301645919
15	-1.2	4930.258301	4928.30251513015	4933.65413902398
16	-1.2	4926.877441	4928.19050148468	4933.56538044945
17	-1.2	4928.595703	4928.07862994145	4933.47674043836
18	-1.2	4924.533691	4927.96690017051	4933.38821869456
19	-1.2	4930.257812	4927.85531184306	4933.299814923
20	-1.2	4928.332031	4927.74386463148	4933.21152882967
21	-1.2	4929.120117	4927.63255820922	4933.12336012165
22	-1.2	4927.459961	4927.52139225091	4933.03530850709
23	-1.2	4927.008789	4927.41036643229	4932.94737369518
24	-1.2	4924.439453	4927.2994804302	4932.85955539617
25	-1.2	4926.783203	4927.18873392261	4932.77185332137
26	-1.2	4925.508301	4927.0781265886	4932.68426718312
27	-1.2	4929.600098	4926.96765810834	4932.59679669482
28	-1.2	4927.375488	4926.85732816312	4932.50944157088
29	-1.2	4924.711426	4926.7471364353	4932.42220152674
30	-1.2	4929.064453	4926.63708260834	4932.33507627889
31	-1.2	4927.891602	4926.52716636677	4932.24806554482
32	-1.2	4925.349121	4926.41738739622	4932.16116904304
33	-1.2	4923.802246	4926.30774538339	4932.07438649306
34	-1.2	4923.680664	4926.19824001602	4931.9877176154
35	-1.2	4922.640625	4926.08887098294	4931.9011621316
36	-1.2	4923.109375	4925.97963797404	4931.81471976417
37	-1.2	4923.670898	4925.87054068025	4931.72839023662
38	-1.2	4920.29834	4925.76157879355	4931.64217327345
39	-1.2	4921.675781	4925.65275200698	4931.55606860013
40	-1.2	4924.420898	4925.5440600146	4931.47007594313
41	-1.2	4918.689941	4925.43550251152	4931.38419502988
42	-1.2	4924.710938	4925.32707919387	4931.29842558876
43	-1.2	4924.280273	4925.21878975881	4931.21276734915
44	-1.2	4922.847168	4925.11063390453	4931.12722004135
45	-1.2	4919.344238	4925.00261133022	4931.04178339666
46	-1.2	4918.585449	4924.89472173608	4930.95645714728
47	-1.2	4922.931152	4924.78696482334	4930.8712410264
48	-1.2	4922.790527	4924.67934029422	4930.78613476812
49	-1.2	4919.08252	4924.57184785193	4930.70113810749
50	-1.2	4915.921387	4924.46448720068	4930.6162507805
51	-1.2	4919.633789	4924.35725804568	4930.53147252405
52	-1.2	4919.896484	4924.25016009311	4930.44680307599
53	-1.2	4920.317383	4924.14319305014	4930.36224217506
54	-1.2	4919.841797	4924.03635662492	4930.27778956093
55	-1.2	4919.27832	4923.92965052654	4930.19344497419
56	-1.2	4920.711426	4923.82307446511	4930.10920815633
57	-1.2	4921.188965	4923.71662815167	4930.02507884974
58	-1.2	4919.166992	4923.61031129822	4929.9410567977
59	-1.2	4922.190918	4923.50412361772	4929.85714174441
60	-1.2	4920.776367	4923.39806482408	4929.77333343495
61	-1.2	4916.578613	4923.29213463216	4929.68963161526
62	-1.2	4919.599121	4923.18633275776	4929.60603603221
63	-1.2	4919.083496	4923.08065891762	4929.52254643351
64	-1.2	4919.662109	4922.97511282941	4929.43916256776
65	-1.2	4919.896484	4922.86969421172	4929.35588418444
66	-1.2	4920.157715	4922.7644027841	4929.27271103388
67	-1.2	4921.21582	4922.65923826699	4929.18964286727
68	-1.2	4920.561035	4922.55420038175	4929.10667943669
69	-1.2	4921.844238	4922.44928885067	4929.02382049503
70	-1.2	4920.766113	4922.34450339693	4928.94106579606
71	-1.2	4926.052246	4922.23984374464	4928.8584150944
72	-1.2	4921.965332	4922.13530961878	4928.77586814549
73	-1.2	4917.922363	4922.03090074527	4928.69342470564
74	-1.2	4917.456055	4921.92661685088	4928.61108453197
75	-1.2	4914.930664	4921.82245766331	4928.52884738244
76	-1.2	4915.884766	4921.7184229111	4928.44671301584
77	-1.2	4914.887207	4921.61451232372	4928.36468119179
78	-1.2	4910.912109	4921.51072563149	4928.28275167072
79	-1.2	4914.289551	4921.40706256562	4928.20092421389
80	-1.2	4914.25293	4921.30352285817	4928.11919858335
81	-1.2	4916.064941	4921.20010624209	4928.037574542
82	-1.2	4914.682617	4921.09681245118	4927.9560518535
83	-1.2	4916.186035	4920.9936412201	4927.87463028234
84	-1.2	4912.968262	4920.89059228438	4927.79330959381
85	-1.2	4915.942383	4920.78766538039	4927.71208955399
86	-1.2	4915.234375	4920.68486024535	4927.63096992974
87	-1.2	4910.802246	4920.58217661732	4927.54995048873
88	-1.2	4911.148438	4920.47961423522	4927.4690309994
89	-1.2	4916.913086	4920.37717283879	4927.38821123097
90	-1.2	4916.644043	4920.2748521686	4927.30749095346
91	-1.2	4908.412598	4920.17265196608	4927.22686993764
92	-1.2	4912.77002	4920.07057197345	4927.14634795506
93	-1.2	4914.88623	4919.96861193378	4927.06592477803
94	-1.2	4909.347168	4919.86677159096	4926.98560017965
95	-1.2	4906.337891	4919.76505068967	4926.90537393374
96	-1.2	4911.52832	4919.66344897544	4926.82524581492
97	-1.2	4907.241211	4919.56196619458	4926.74521559853
98	-1.2	4906.376953	4919.46060209422	4926.66528306068
99	-1.2	4905.740234	4919.3593564223	4926.58544797823
100	-1.2	4910.445801	4919.25822892754	4926.50571012877
101	-1.2	4910.496582	4919.15721935946	4926.42606929065
102	-1.2	4911.708008	4919.0563274684	4926.34652524293
103	-1.2	4911.901367	4918.95555300545	4926.26707776543
104	-1.2	4910.950684	4918.85489572252	4926.1877266387
105	-1.2	4906.70166	4918.75435537228	4926.108471644
106	-1.2	4908.563965	4918.65393170818	4926.02931256333
107	-1.2	4909.783691	4918.55362448447	4925.9502491794
