Pulse Number	Voltage (V)	Measurements (Ù)	Model (Ù)	VTEAM (Ù)
1	0.6	16525.398438	16250	16317.5195584
2	0.6	16605.796875	16250.9798723314	16318.2136089883
3	0.6	16125.422852	16251.9574434786	16318.9067837169
4	0.6	16641.326172	16252.9327199908	16319.5990846178
5	0.6	16329.31543	16253.9057083936	16320.2905137164
6	0.6	16582.511719	16254.8764151884	16320.981073031
7	0.6	16660.416016	16255.8448468531	16321.6707645734
8	0.6	16179.670898	16256.8110098416	16322.3595903485
9	0.6	16549.644531	16257.7749105845	16323.0475523547
10	0.6	16639.6875	16258.7365554889	16323.7346525835
11	0.6	16336.65918	16259.6959509386	16324.4208930198
12	0.6	16478.675781	16260.653103294	16325.106275642
13	0.6	16084.37793	16261.6080188927	16325.7908024218
14	0.6	16369.143555	16262.5607040489	16326.4744753243
15	0.6	16589.912109	16263.5111650542	16327.1572963083
16	0.6	16541.392578	16264.4594081774	16327.8392673258
17	0.6	16182.856445	16265.4054396645	16328.5203903224
18	0.6	16356.680664	16266.349265739	16329.2006672375
19	0.6	16407.244141	16267.2908926018	16329.8801000037
20	0.6	16533.988281	16268.2303264316	16330.5586905475
21	0.6	16537.5	16269.1675733848	16331.2364407889
22	0.6	16721.275391	16270.1026395957	16331.9133526416
23	0.6	16272.185547	16271.0355311763	16332.5894280129
24	0.6	16536.837891	16271.9662542169	16333.264668804
25	0.6	16093.720703	16272.8948147858	16333.9390769098
26	0.6	16731.306641	16273.8212189298	16334.6126542187
27	0.6	16609.351562	16274.7454726737	16335.2854026133
28	0.6	16545.496094	16275.667582021	16335.9573239697
29	0.6	16225.649414	16276.5875529537	16336.6284201581
30	0.6	16696.806641	16277.5053914324	16337.2986930424
31	0.6	16016.249023	16278.4211033964	16337.9681444804
32	0.6	16391.185547	16279.3346947641	16338.636776324
33	0.6	16673.238281	16280.2461714326	16339.304590419
34	0.6	16104.739258	16281.1555392782	16339.971588605
35	0.6	16039.539062	16282.0628041561	16340.6377727158
36	0.6	16015.464844	16282.967971901	16341.3031445791
37	0.6	16459.222656	16283.8710483268	16341.9677060168
38	0.6	16264.094727	16284.7720392269	16342.6314588447
39	0.6	15920.966797	16285.6709503742	16343.2944048731
40	0.6	16510.894531	16286.567787521	16343.9565459058
41	0.6	16131.12207	16287.4625563997	16344.6178837413
42	0.6	16304.605469	16288.3552627221	16345.2784201721
43	0.6	16738.662109	16289.2459121803	16345.9381569848
44	0.6	16524.185547	16290.1345104459	16346.5970959604
45	0.6	16011.263672	16291.021063171	16347.255238874
46	0.6	16400.267578	16291.9055759876	16347.9125874952
47	0.6	16661.505859	16292.788054508	16348.5691435877
48	0.6	16178.503906	16293.668504325	16349.2249089095
49	0.6	16499.699219	16294.5469310117	16349.8798852132
50	0.6	16745.796875	16295.4233401217	16350.5340742456
51	0.6	16241.664062	16296.2977371892	16351.1874777478
52	0.6	16710.511719	16297.1701277291	16351.8400974556
53	0.6	16074.90918	16298.0405172372	16352.4919350989
54	0.6	16352.019531	16298.9089111901	16353.1429924024
55	0.6	16087.136719	16299.7753150452	16353.7932710852
56	0.6	16593.527344	16300.6397342411	16354.4427728607
57	0.6	16477.505859	16301.5021741976	16355.0914994372
58	0.6	16074.613281	16302.3626403155	16355.7394525171
59	0.6	16282.360352	16303.221137977	16356.386633798
60	0.6	16714.164062	16304.0776725457	16357.0330449714
61	0.6	16509.712891	16304.9322493665	16357.6786877241
62	0.6	16204.216797	16305.7848737661	16358.323563737
63	0.6	16627.847656	16306.6355510527	16358.9676746859
64	0.6	16483.417969	16307.484286516	16359.6110222415
65	0.6	16618.328125	16308.3310854279	16360.2536080689
66	0.6	16667.722656	16309.1759530417	16360.895433828
67	0.6	16175.735352	16310.0188945931	16361.5365011736
68	0.6	16567.960938	16310.8599152996	16362.1768117552
69	0.6	16574.818359	16311.6990203606	16362.8163672171
70	0.6	16320.283203	16312.5362149582	16363.4551691984
71	0.6	16570.742188	16313.3715042562	16364.093219333
72	0.6	16626.601562	16314.2048934011	16364.7305192499
73	0.6	16691.287109	16315.0363875218	16365.3670705727
74	0.6	16556.705078	16315.8659917296	16366.0028749201
75	0.6	16859.708984	16316.6937111183	16366.6379339056
76	0.6	16415.847656	16317.5195507645	16367.2722491379
77	0.6	16631.828125	16318.3435157275	16367.9058222203
78	0.6	16780.587891	16319.1656110493	16368.5386547513
79	0.6	16641.751953	16319.9858417549	16369.1707483244
80	0.6	16587.019531	16320.8042128522	16369.8021045282
81	0.6	16797.345703	16321.6207293321	16370.4327249463
82	0.6	16587.902344	16322.4353961687	16371.0626111573
83	0.6	16347.21582	16323.248218319	16371.6917647349
84	0.6	16486.460938	16324.0592007237	16372.3201872481
85	0.6	16372.296875	16324.8683483063	16372.9478802607
86	0.6	16314.485352	16325.6756659741	16373.574845332
87	0.6	16416.964844	16326.4811586177	16374.2010840162
88	0.6	16091.822266	16327.2848311113	16374.8265978629
89	0.6	16645.757812	16328.0866883126	16375.4513884169
90	0.6	16771.234375	16328.8867350629	16376.0754572179
91	0.6	16529.144531	16329.6849761876	16376.6988058013
92	0.6	16233.641602	16330.4814164955	16377.3214356976
93	0.6	16141.041016	16331.2760607796	16377.9433484324
94	0.6	16768.488281	16332.0689138168	16378.5645455268
95	0.6	16588.646484	16332.8599803678	16379.1850284973
96	0.6	16603.273438	16333.6492651776	16379.8047988556
97	0.6	16685.666016	16334.4367729753	16380.4238581087
98	0.6	16405.208984	16335.2225084743	16381.0422077592
99	0.6	16713.101562	16336.0064763723	16381.6598493049
100	0.6	16621.966797	16336.7886813512	16382.2767842391
101	0.6	15988.275391	16337.5691280774	16382.8930140506
102	0.6	16376.026367	16338.347821202	16383.5085402236
103	0.6	16560.056641	16339.1247653603	16384.1233642377
104	0.6	16272.295898	16339.8999651725	16384.7374875682
105	0.6	16568.097656	16340.6734252435	16385.3509116855
106	0.6	16623.320312	16341.4451501628	16385.963638056
107	0.6	16057.713867	16342.2151445048	16386.5756681415
108	0.6	16555.810547	16342.9834128288	16387.1870033991
109	0.6	15995.115234	16343.749959679	16387.7976452817
110	0.6	16606.679688	16344.5147895847	16388.407595238
111	0.6	16319.921875	16345.2779070603	16389.0168547119
112	0.6	16421.742188	16346.0393166051	16389.6254251433
113	0.6	16498.048828	16346.7990227039	16390.2333079673
114	0.6	16615.078125	16347.5570298267	16390.8405046152
115	0.6	16295.160156	16348.3133424286	16391.4470165137
116	0.6	16305.011719	16349.0679649504	16392.0528450851
117	0.6	16114.24707	16349.8209018181	16392.6579917476
118	0.6	16769.773438	16350.5721574435	16393.2624579152
119	0.6	16189.537109	16351.3217362237	16393.8662449974
120	0.6	16748.826172	16352.0696425415	16394.4693543997
121	0.6	16315.928711	16352.8158807654	16395.0717875231
122	0.6	16651.074219	16353.5604552498	16395.6735457649
123	0.6	16480.376953	16354.3033703347	16396.2746305177
124	0.6	16512.720703	16355.0446303461	16396.8750431701
125	0.6	16243.399414	16355.7842395959	16397.4747851068
126	0.6	16407.945312	16356.522202382	16398.0738577079
127	0.6	16612.681641	16357.2585229883	16398.6722623499
128	0.6	16420.605469	16357.9932056848	16399.2700004048
129	0.6	16628.605469	16358.7262547277	16399.8670732407
130	0.6	16827.806641	16359.4576743594	16400.4634822216
131	0.6	16825.580078	16360.1874688087	16401.0592287073
132	0.6	16696.046875	16360.9156422906	16401.6543140539
133	0.6	16817.333984	16361.6421990064	16402.2487396132
134	0.6	16456.283203	16362.367143144	16402.8425067331
135	0.6	16770.646484	16363.0904788778	16403.4356167573
136	0.6	16259.681641	16363.8122103688	16404.028071026
137	0.6	16544.470703	16364.5323417644	16404.6198708748
138	0.6	16800.09375	16365.2508771988	16405.211017636
139	0.6	16793.345703	16365.967820793	16405.8015126376
140	0.6	16428.125	16366.6831766547	16406.3913572037
141	0.6	16415.9375	16367.3969488783	16406.9805526545
142	0.6	16731.558594	16368.1091415454	16407.5691003065
143	0.6	16430.695312	16368.8197587242	16408.1570014721
144	0.6	16543.714844	16369.5288044701	16408.74425746
145	0.6	16688.402344	16370.2362828254	16409.330869575
146	0.6	16281.961914	16370.9421978197	16409.9168391181
147	0.6	16835.490234	16371.6465534696	16410.5021673865
148	0.6	16430.773438	16372.349353779	16411.0868556735
149	0.6	16687.199219	16373.0506027388	16411.6709052687
150	0.6	16397.804688	16373.7503043275	16412.254317458
151	0.6	16802.873047	16374.4484625109	16412.8370935235
152	0.6	16690.480469	16375.1450812421	16413.4192347434
153	0.6	16387.626953	16375.8401644618	16414.0007423924
154	0.6	16262.742188	16376.5337160979	16414.5816177415
155	0.6	16605.361328	16377.2257400663	16415.1618620578
156	0.6	16622.875	16377.9162402703	16415.7414766048
157	0.6	16424.142578	16378.6052206007	16416.3204626424
158	0.6	16792.921875	16379.2926849363	16416.8988214269
159	0.6	16379.314453	16379.9786371434	16417.4765542107
160	0.6	16441.142578	16380.6630810764	16418.0536622429
161	0.6	16508.498047	16381.3460205772	16418.6301467687
162	0.6	16648.431641	16382.0274594759	16419.2060090299
163	0.6	16683.259766	16382.7074015905	16419.7812502647
164	0.6	16690.220703	16383.3858507269	16420.3558717076
165	0.6	16606.017578	16384.062810679	16420.9298745897
166	0.6	16788.335938	16384.738285229	16421.5032601384
167	0.6	16419.107422	16385.4122781472	16422.0760295776
168	0.6	16574.388672	16386.0847931919	16422.6481841279
169	0.6	16191.952148	16386.7558341116	16423.2197250064
170	0.6	16766.644531	16387.4254046377	16423.7906534259
171	0.6	16690.167969	16388.0935084954	16424.3609705967
172	0.6	16851.408203	16388.7601493963	16424.9306777252
173	0.6	16592.269531	16389.4253310404	16425.4997760145
174	0.6	16546.488281	16390.0890571164	16426.0682666643
175	0.6	16489.591797	16390.7513313013	16426.6361508705
176	0.6	16602.072266	16391.4121572608	16427.2034298261
177	0.6	16573.224609	16392.0715386492	16427.7701047204
178	0.6	16205.241211	16392.7294791092	16428.3361767393
179	0.6	15959.463867	16393.3859822727	16428.9016470655
180	0.6	16267.642578	16394.0410517598	16429.4665168781
181	0.6	16154.195312	16394.6946911798	16430.0307873529
182	0.6	16836.552734	16395.3469041305	16430.5944596627
183	0.6	16872.408203	16395.9976941989	16431.1575349765
184	0.6	16228.237305	16396.6470649607	16431.7200144603
185	0.6	16433.089844	16397.2950199805	16432.2818992766
186	0.6	16672.404297	16397.9415628121	16432.8431905848
187	0.6	16663.478516	16398.5866969983	16433.4038895408
188	0.6	16444.767578	16399.230426071	16433.9639972975
189	0.6	16672.583984	16399.872753551	16434.5235150045
190	0.6	16901.404297	16400.5136829486	16435.0824438078
191	0.6	16403.648438	16401.1532177631	16435.6407848506
192	0.6	16226.867188	16401.7913614833	16436.1985392727
193	0.6	16390.316406	16402.4281175868	16436.7557082107
194	0.6	16735.171875	16403.0634895412	16437.312292798
195	0.6	16628.503906	16403.697480803	16437.868294165
196	0.6	16687.755859	16404.3300948183	16438.4237134386
197	0.6	16651.875	16404.9613350227	16438.9785517428
198	0.6	16863.355469	16405.5912048412	16439.5328101983
199	0.6	16272.067383	16406.2197076884	16440.0864899228
200	0.6	16586.037109	16406.8468469685	16440.6395920309
201	0.6	16405.716797	16407.4726260754	16441.1921176338
202	0.6	16782.589844	16408.0970483924	16441.7440678399
203	0.6	16824.996094	16408.7201172928	16442.2954437544
204	0.6	16703.283203	16409.3418361395	16442.8462464795
205	0.6	16806.855469	16409.9622082853	16443.3964771142
206	0.6	16546.832031	16410.5812370726	16443.9461367544
207	0.6	16674.25	16411.198925834	16444.4952264932
208	0.6	16247.745117	16411.8152778916	16445.0437474205
209	0.6	16811.636719	16412.4302965578	16445.5917006232
