time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
0	740.99999999998	741.000000000015	741	741.000000000001	741	741	741	741
2.4024024024024E-8	508.496373825137	547.485378346735	594.856402955968	647.269345549146	695.60212504108	726.264039905789	737.796403770483	740.573135250721
4.8048048048048E-8	469.739807986395	509.18930194776	557.807967298107	613.729232235817	670.770478247053	714.611046473794	734.773417367506	740.150691087019
7.20720720720721E-8	447.015805122097	486.613040905574	535.655544359496	592.855100301163	653.606438517479	704.977663913088	731.912257683228	739.732589495851
9.60960960960961E-8	430.905699268376	470.571018126267	519.822593198424	577.680111122244	640.488185541239	696.770582981557	729.1969267216	739.318754493
1.2012012012012E-7	418.431262379964	458.132571237032	507.505841875805	565.761835965147	629.875785812148	689.62475879149	726.613686809233	738.909112053331
1.44144144144144E-7	408.260614799831	447.981810353721	497.432678627867	555.954083998383	620.969461347369	683.299517479225	724.150653870709	738.503590044026
1.68168168168168E-7	399.681631875153	439.413496844788	488.916616431582	547.626141141179	613.300134425046	677.627777163775	721.797478262189	738.102118160636
1.92192192192192E-7	392.268579550641	432.005350639324	481.544818756256	540.393598029322	606.569000661538	672.488800594075	719.545091474833	737.70462786581
2.16216216216216E-7	385.746545841992	425.484382984167	475.049570246752	534.004750752474	600.573942994971	667.792496597955	717.385503039522	737.311052330573
2.4024024024024E-7	379.927665868236	419.663884899839	469.247338180544	528.285773465566	595.171848841577	663.469852708909	715.311636147324	736.921326378022
2.64264264264264E-7	374.677855729197	414.410509034804	464.006802547011	523.111573486438	590.257666208966	659.466832528382	713.317193453621	736.535386429319
2.88288288288288E-7	369.898060858334	409.625692376851	459.230755160806	518.389121307947	585.751999702326	655.740333319713	711.396546649971	736.153170451879
