time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
0	1169997.80968228	1170000.01636273	1170000.01636273	1170000.01636273
1.001001001001E-6	1226359.59054424	1188025.98187805	1177060.97026978	1173452.06287471
2.002002002002E-6	1276563.34467494	1205372.13064819	1184015.17706024	1176878.94031866
3.003003003003E-6	1321823.14720043	1222087.8807251	1190865.81631917	1180279.39846136
4.004004004004E-6	1363031.83563233	1238215.54753557	1197615.9276524	1183655.975116
5.005005005005E-6	1400845.1883626	1253800.5615273	1204268.41878455	1187007.41555946
6.00600600600601E-6	1435779.9793224	1268871.25221905	1210825.06344395	1190334.61508636
7.00700700700701E-6	1468252.53093618	1283465.54461887	1217291.55653364	1193637.9218484
8.00800800800801E-6	1498587.4842041	1297611.01663514	1223666.44244026	1196917.67655038
9.00900900900901E-6	1527041.10350932	1311334.45191027	1229955.15814936	1200174.72930408
1.001001001001E-5	1553836.78046947	1324660.30589094	1236159.05932384	1203408.36964085
1.1011011011011E-5	1579157.13376149	1337610.96808788	1242280.40330339	1206619.94692784
1.2012012012012E-5	1603156.17799604	1350206.98841715	1248322.28909389	1209808.24575361
1.3013013013013E-5	1625965.00223713	1362465.82115865	1254284.00896579	1212975.60343529
1.4014014014014E-5	1647696.10576708	1374409.25670454	1260170.35879667	1216120.80236829
1.5015015015015E-5	1668449.74179265	1386047.66891337	1265982.33608881	1219244.64257317
1.6016016016016E-5	1688304.47574046	1397400.22009458	1271721.79677376	1222347.90451466
1.7017017017017E-5	1707334.83713755	1408479.33457366	1277390.52816744	1225429.39354444
1.8018018018018E-5	1725611.72984386	1419297.87509861	1282990.25231146	1228491.34915827
1.9019019019019E-5	1743192.6508636	1429867.8176198	1288522.62911339	1231532.57544406
2.002002002002E-5	1760123.86272702	1440200.33098014	1293989.25930047	1234553.82731723
2.1021021021021E-5	1776453.95517858	1450305.84785007	1299391.68719987	1237555.36544581
2.2022022022022E-5	1792224.15262036	1460192.9537756	1304730.58015258	1240537.44542826
2.3023023023023E-5	1807471.57895468	1469874.3151316	1310009.84700693	1243500.78812785
2.4024024024024E-5	1822229.78400037	1479353.86096315	1315227.60376462	1246444.6959846
2.5025025025025E-5	1836529.18805369	1488643.09920822	1320387.63533477	1249369.88339674
2.6026026026026E-5	1850399.47048943	1497749.54219217	1325490.42666461	1252276.58694895
2.7027027027027E-5	1863861.78968892	1506677.08182227	1330537.23376611	1255165.03876919
2.8028028028028E-5	1876941.3032133	1515435.69542337	1335529.27175885	1258035.92221856
2.9029029029029E-5	1889657.3343363	1524030.65419805	1340467.71662609	1260888.54686821
3.003003003003E-5	1902034.88363841	1532467.96192286	1345353.70687757	1263723.59055941
3.1031031031031E-5	1914086.34250453	1540752.31232119	1350188.34512496	1266541.2686712
3.2032032032032E-5	1925830.11501628	1548892.04011159	1354972.69957541	1269342.2371665
3.3033033033033E-5	1937281.52193897	1556888.33416095	1359707.0749748	1272125.81193516
3.4034034034034E-5	1948454.7674699	1564748.93552607	1364394.66631883	1274892.6440693
3.5035035035035E-5	1959363.04516972	1572478.38809927	1369034.25539651	1277642.9337724
3.6036036036036E-5	1970020.18220387	1580078.29671618	1373627.51673621	1280376.87767833
3.7037037037037E-5	1980434.48535977	1587555.57295911	1378175.36639211	1283095.10036014
3.8038038038038E-5	1990618.22404798	1594912.37330036	1382677.99862187	1285796.92618753
3.9039039039039E-5	2000581.38656591	1602155.09203436	1387138.36139048	1288482.97556224
4.004004004004E-5	2010333.32589253	1609283.84228686	1391554.52683102	1291153.43165836
4.1041041041041E-5	2019882.81245195	1616304.63778455	1395930.04916968	1293808.47447824
4.2042042042042E-5	2029238.08151061	1623220.71173941	1400263.00622134	1296448.7000059
4.3043043043043E-5	2038406.87585015	1630032.71902916	1404556.19278737	1299073.44157093
