time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
0	1169978.69294802	1169978.69294802	1169978.69294802	1169978.69294802
1E-6	1171404.53984188	1173655.93785251	1178162.06689305	1186312.67146157
2E-6	1172828.69979342	1177321.9577968	1186289.56375059	1202424.2957058
3E-6	1174251.15812828	1180976.6992093	1194361.59724794	1218317.75110722
4E-6	1175671.91742499	1184620.20604423	1202378.70747015	1233997.26168357
5E-6	1177090.98097416	1188252.5345112	1210341.42938653	1249466.95586294
6E-6	1178508.35161023	1191873.73256637	1218250.29142266	1264730.87174834
7E-6	1179924.03220566	1195483.84881659	1226105.81632565	1279792.95667636
8E-6	1181338.02564055	1199082.93183364	1233908.52108328	1294657.06961482
9E-6	1182750.33478872	1202671.02991594	1241658.91686033	1309326.98327931
1E-5	1184160.96251873	1206248.19113444	1249357.50908349	1323806.38590324
1.1E-5	1185569.91169362	1209814.46332034	1257004.79751425	1338098.88307944
1.2E-5	1186977.18517083	1213369.89406276	1264601.27630688	1352207.99966727
1.3E-5	1188382.7858022	1216914.53071118	1272147.43406735	1366137.18160194
1.4E-5	1189786.71643406	1220448.42037684	1279643.75391482	1379889.79768454
1.5E-5	1191188.97990717	1223971.60993377	1287090.71354137	1393469.14134404
1.6E-5	1192589.57905677	1227484.14601991	1294488.78527123	1406878.4323722
1.7E-5	1193988.51671257	1230986.07503822	1301838.43611977	1420120.81862809
1.8E-5	1195385.79569878	1234477.44315783	1309140.12785217	1433199.37771144
1.9E-5	1196781.41883407	1237958.29631511	1316394.31704169	1446117.11860517
2E-5	1198175.38893167	1241428.68021481	1323601.45512761	1458876.98328696
2.1E-5	1199567.70879929	1244888.64033114	1330761.9884727	1471481.84830945
2.2E-5	1200958.38123918	1248338.22190888	1337876.35842034	1483934.5263488
2.3E-5	1202347.40904812	1251777.46996451	1344945.00135123	1496237.76772179
2.4E-5	1203734.79501744	1255206.42928724	1351968.34873961	1508394.26187135
2.5E-5	1205120.54193302	1258625.14444021	1358946.82720917	1520406.63882079
2.6E-5	1206504.65257532	1262033.65976147	1365880.8585884	1532277.47059657
2.7E-5	1207887.12971935	1265432.01936517	1372770.85996558	1544009.27262021
