Pulse Number	time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
		Vb = 8.7 V	Vb = 9 V	Vb = 9.2 V	Vb = 9.5 V
0	0	2383639.65089214	2383639.65089214	2383639.65089214	2383639.65089214
1	5E-5	1545595.05409583	1506909.17858381	1492927.2571194	1461934.87080151
2	1E-4	1483107.40663839	1421363.08720063	1394962.78936759	1366204.20654275
3	1.5E-4	1434030.98940968	1372872.0483251	1337023.51824369	1306028.62814753
4	2E-4	1403656.52524827	1335443.33380074	1295512.99075651	1267820.80620725
5	2.5E-4	1381282.24430739	1304512.30807363	1267820.80620725	1225084.83712497
6	3E-4	1359610.06383369	1277881.78315624	1244020.92443195	1199004.82599442
7	3.5E-4	1354710.66766915	1262132.24621676	1223750.55068775	1170357.19301531
8	4E-4	1338616.40608267	1244020.92443195	1202848.34488068	1152405.64678767
9	4.5E-4	1326013.73750232	1235834.2499104	1187634.35113597	1131567.3339142
10	5E-4	1318252.52445358	1223750.55068775	1170357.19301531	1110383.19323999
11	5.5E-4	1313637.5279969	1211900.86650912	1153582.16100546	1095266.25922762
12	6E-4	1304512.30807363	1204130.166471	1136137.69988923	1083681.91768352
13	6.5E-4	1295512.99075651	1191398.10567701	1128171.57233272	1066245.85496924
14	7E-4	1289582.11091696	1185136.02398715	1116987.70755028	1052304.81061144
15	7.5E-4	1283705.28694022	1186380.35354135	1108199.01037828	1040642.28441794
16	8E-4	1280786.91548087	1172793.53556203	1094205.63406481	1033955.08499111
17	8.5E-4	1277881.78315624	1167930.95192212	1088915.38582994	1019913.81728244
18	9E-4	1272110.87718406	1160712.21301391	1084722.22975502	1005353.50742705
19	9.5E-4	1273552.766475	1160712.21301391	1072334.31094478	994703.205431079
20	0.001	1269244.92619341	1154767.74733682	1066245.85496924	983414.71090066
