time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V 	Vb = 9 V 	Vb = 9.2 V 	Vb = 9.5 V 
0	2379999.99999988	2379999.99999988	2379999.99999988	2379999.99999988
1E-6	2287819.98058213	2232411.35863289	2186580.84192208	2107334.5654866
2E-6	2223653.18512831	2146739.61830062	2088662.95174197	1996027.5690322
3E-6	2174716.49146393	2086862.62335408	2023641.04997105	1926470.6598599
4E-6	2135313.34355985	2041077.61943588	1975249.8538548	1876198.19388598
5E-6	2102420.60341993	2004141.92982675	1936860.45140696	1836998.07120613
6E-6	2074245.99458462	1973263.52599562	1905129.88457051	1804962.4723423
7E-6	2049641.86832838	1946782.76452767	1878141.13752755	1777931.1605205
8E-6	2027830.21633362	1923634.87177358	1854695.13957871	1754586.90141352
9E-6	2008259.97929844	1903096.78543846	1833993.04199024	1734068.30380386
1E-5	1990527.02788306	1884655.6838187	1815476.71370037	1715782.03684792
1.1E-5	1974326.36029605	1867935.02341906	1798741.0023584	1699302.38008783
1.2E-5	1959422.33247772	1852650.35973847	1783482.90192559	1684313.73471168
1.3E-5	1945629.15312324	1838581.67101975	1769469.9866926	1670575.86452819
1.4E-5	1932797.98361093	1825555.48824372	1756520.08688163	1657901.79619168
1.5E-5	1920807.58225918	1813432.51576245	1744487.96896639	1646143.08133982
1.6E-5	1909558.0364259	1802099.41296651	1733255.88363698	1635180.05343637
1.7E-5	1898966.05526992	1791462.67101343	1722727.19689367	1624914.900685
1.8E-5	1888961.49723073	1781444.26726396	1712821.64559999	1615266.58712608
1.9E-5	1879484.76252408	1771978.47017734	1703471.74398393	1606167.28395575
2E-5	1870484.73885229	1763009.37570533	1694620.32853851	1597559.6549006
2.1E-5	1861917.33052367	1754489.07291795	1686218.53065284	1589394.81474155
2.2E-5	1853744.21638516	1746376.1846717	1678224.25659134	1581630.7504302
2.3E-5	1845931.89194178	1738634.74146577	1670600.99631137	1574231.09715362
2.4E-5	1838450.89896854	1731233.28314549	1663316.88466516	1567164.17423503
2.5E-5	1831275.20305772	1724144.13954296	1656343.94703509	1560402.2179532
2.6E-5	1824381.68602382	1717342.84868182	1649657.49630183	1553920.76469157
2.7E-5	1817749.72864501	1710807.68205576	1643235.63923614	1547698.15055711
2.8E-5	1811360.86519533	1704519.25430184	1637058.87262875	1541715.10208244
2.9E-5	1805198.49546382	1698460.19990489	1631109.74951418	1535954.39885441
3E-5	1799247.6431802	1692614.9036114	1625372.60152447	1530400.59344761
3.1E-5	1793494.75217489	1686969.27421386	1619833.30641859	1525039.77739012
3.2E-5	1787927.51343182	1681510.55361258	1614479.09226494	1519859.38438985
3.3E-5	1782534.71759446	1676227.15476794	1609298.37156995	1514848.02393723
3.4E-5	1777306.12856947	1671108.52346357	1604280.60003215	1509995.33983739
3.5E-5	1772232.37471612	1666145.01981144	1599416.15567092	1505291.88932973
3.6E-5	1767304.85477202	1661327.81621737	1594696.23490963	1500729.03930876
3.7E-5	1762515.65618948	1656648.80914358	1590112.76284375	1496298.87682916
3.8E-5	1757857.48397297	1652100.54249361	1585658.31543726	1491994.13160386
3.9E-5	1753323.59844208	1647676.14083421	1581326.0517981	1487808.10862102
4E-5	1748907.76061274	1643369.25097981	1577109.65500896	1483734.62933826
4.1E-5	1744604.18410723	1639173.9907167	1573003.28025142	1479767.98017935
4.2E-5	1740407.4926807	1635084.90364719	1569001.50917291	1475902.86727378
4.3E-5	1736312.68259695	1631096.91929962	1565099.30961844	1472134.37655475
4.4E-5	1732315.08920566	1627205.31778604	1561291.99998908	1468457.93847347
4.5E-5	1728410.35717167	1623405.69840053	1557575.21760531	1464869.29670479
4.6E-5	1724594.41388907	1619693.95164386	1553944.89054819	1461364.48031557
4.7E-5	1720863.44568062	1616066.23423637	1550397.21253048	1457939.77894698
4.8E-5	1717213.87644066	1612518.94674509	1546928.62041575	1454591.72062816
4.9E-5	1713642.34842704	1609048.71350423	1543535.77405815	1451317.05189423
5E-5	1710145.70494857	1605652.36455347	1540215.53818203	1448112.71992782
5.1E-5	1706720.97472831	1602326.91935594	1536964.96605897	1444975.85648253
5.2E-5	1703365.35775225	1599069.57209015	1533781.28477328	1441903.76337956
5.3E-5	1700076.21243772	1595877.67833711	1530661.88189407	1438893.89939676
5.4E-5	1696851.04397676	1592748.74300721	1527604.29339642	1435943.86839302
5.5E-5	1693687.49372824	1589680.40937114	1524606.19269399	1433051.40853131
5.6E-5	1690583.3295475	1586670.44907626	1521665.38066282	1430214.38248072
5.7E-5	1687536.4369563	1583716.75304416	1518779.77655104	1427430.76849313
5.8E-5	1684544.81106707	1580817.3231581	1515947.40968193	1424698.65226246
5.9E-5	1681606.54918566	1577970.26465949	1513166.41186883	1422016.21948596
6E-5	1678719.84402547	1575173.77918243	1510435.01047008	1419381.74905606
6.1E-5	1675882.97747346	1572426.15836311	1507751.52202037	1416793.60682003
6.2E-5	1673094.31485525	1569725.77796828	1505114.34638219	1414250.2398516
6.3E-5	1670352.29965214	1567071.09249309	1502521.96136729	1411750.17118508
6.4E-5	1667655.44862818	1564460.63018416	1499972.91778372	1409291.99496795
6.5E-5	1665002.34732968	1561892.98844833	1497465.83486874	1406874.37199277
6.6E-5	1662391.64592374	1559366.82961198	1494999.39607216	1404496.02557347
6.7E-5	1659822.0553455	1556880.87699922	1492572.34515837	1402155.73773457
6.8E-5	1657292.34372732	1554433.91130083	1490183.48259874	1399852.34568543
6.9E-5	1654801.33308539	1552024.76720836	1487831.66222882	1397584.73855444
7E-5	1652347.8962419	1549652.33029071	1485515.78814735	1395351.85436037
7.1E-5	1649930.95396306	1547315.53409244	1483234.81183663	1393152.6772007
7.2E-5	1647549.47229509	1545013.35743532	1480987.72948534	1390986.23463853
7.3E-5	1645202.46008198	1542744.82190626	1478773.57949723	1388851.59527148
7.4E-5	1642888.96665038	1540508.98951646	1476591.44017033	1386747.8664677
7.5E-5	1640608.07964841	1538304.96051796	1474440.4275329	1384674.19225532
7.6E-5	1638358.92302611	1536131.87136516	1472319.69332367	1382629.75135313
7.7E-5	1636140.65514684	1533988.89280982	1470228.42310497	1380613.75533129
7.8E-5	1633952.46701937	1531875.22811936	1468165.83449837	1378625.44689195
7.9E-5	1631793.5806416	1529790.11140887	1466131.17553356	1376664.09826052
8E-5	1629663.24744769	1527732.8060784	1464123.72310174	1374729.00967916
8.1E-5	1627560.74685079	1525702.60334759	1462142.78150577	1372819.50799486
8.2E-5	1625485.38487458	1523698.82088048	1460187.68109994	1370934.94533505
8.3E-5	1623436.49286707	1521720.80149396	1458257.77701275	1369074.69786431
8.4E-5	1621413.42629097	1519767.91194383	1456352.44794677	1367238.16461635
