Voltage (V)	Current (mA)	Voltage (V)	Current (mA)	Voltage (V)	Current (mA)	Voltage (V)	Current (mA)
	R = 1.41 KÙ		R = 1.03 KÙ		R = 0.56 KÙ		R = 0.32 KÙ
-0.372571	-0.30084	-0.294857	-0.30084	-0.169905	-0.30084	-0.101333	-0.30084
-0.345143	-0.27563	-0.275048	-0.27563	-0.157714	-0.27563	-0.0937143	-0.27563
-0.319238	-0.25042	-0.25219	-0.25042	-0.145524	-0.252101	-0.0845714	-0.25042
-0.290286	-0.22521	-0.230857	-0.22521	-0.13181	-0.226891	-0.0769524	-0.22521
-0.262857	-0.2	-0.206476	-0.2	-0.118095	-0.201681	-0.0678095	-0.201681
-0.233905	-0.176471	-0.180571	-0.176471	-0.104381	-0.176471	-0.0601905	-0.176471
-0.209524	-0.151261	-0.160762	-0.151261	-0.0906667	-0.151261	-0.0525714	-0.151261
-0.177524	-0.12605	-0.134857	-0.12605	-0.0754286	-0.12605	-0.0434286	-0.12605
-0.145524	-0.10084	-0.110476	-0.10084	-0.0632381	-0.10084	-0.0358095	-0.10084
-0.112	-0.0756303	-0.0845714	-0.0756303	-0.048	-0.0756303	-0.0281905	-0.0756303
-0.0784762	-0.0504202	-0.0586667	-0.0504202	-0.0327619	-0.0504202	-0.0175238	-0.0504202
-0.0419048	-0.0252101	0	0	-0.0190476	-0.0268908	-0.00990476	-0.0252101
0.0327619	0.0235294	0.0251429	0.0252101	0.0144762	0.0235294	0.00533333	0.0252101
0.0693333	0.0487395	0.0510476	0.0487395	0.0266667	0.0487395	0.0129524	0.0504202
0.104381	0.0739496	0.0769524	0.0756303	0.040381	0.0739496	0.0220952	0.0739496
0.134857	0.0991597	0.102857	0.0991597	0.055619	0.0991597	0.0297143	0.0991597
0.169905	0.12437	0.128762	0.12437	0.0708571	0.12437	0.0373333	0.12437
0.200381	0.14958	0.153143	0.14958	0.0845714	0.14958	0.0449524	0.14958
0.22781	0.17479	0.177524	0.17479	0.0982857	0.17479	0.0540952	0.17479
0.253714	0.2	0.203429	0.2	0.113524	0.2	0.0617143	0.2
0.281143	0.22521	0.226286	0.223529	0.127238	0.22521	0.0693333	0.22521
0.308571	0.248739	0.247619	0.248739	0.140952	0.25042	0.0769524	0.25042
0.334476	0.27395	0.272	0.27395	0.153143	0.27563	0.0845714	0.27395
0.35581	0.29916	0.294857	0.29916	0.168381	0.29916	0.0952381	0.29916
