time (s)	Current (A)	Current (A)
	Device 1	Device 2
0	0	0
1.044E-7	8.35E-6	2.229E-10
1.566E-7	1.253E-5	3.34E-10
2.609E-7	2.088E-5	5.567E-10
3.131E-7	2.505E-5	6.68E-10
4.175E-7	3.34E-5	8.907E-10
4.697E-7	3.757E-5	1.002E-9
5.741E-7	4.592E-5	1.225E-9
6.262E-7	5.01E-5	1.336E-9
7.306E-7	5.845E-5	1.559E-9
7.828E-7	6.262E-5	1.67E-9
8.872E-7	7.097E-5	1.893E-9
9.394E-7	7.515E-5	2.004E-9
1.044E-6	8.35E-5	2.227E-9
1.096E-6	8.767E-5	2.338E-9
1.2E-6	9.602E-5	2.561E-9
1.409E-6	1.127E-4	3.006E-9
1.513E-6	1.211E-4	3.229E-9
1.722E-6	1.378E-4	3.674E-9
2.14E-6	1.712E-4	4.565E-9
2.975E-6	2.38E-4	6.346E-9
3.392E-6	2.714E-4	7.237E-9
4.227E-6	3.382E-4	9.018E-9
4.645E-6	3.716E-4	9.909E-9
5.48E-6	4.384E-4	1.169E-8
7.15E-6	5.72E-4	1.525E-8
7.985E-6	6.388E-4	1.703E-8
9.655E-6	7.724E-4	2.06E-8
1.299E-5	0.00104	2.772E-8
1.967E-5	0.001574	4.197E-8
3.303E-5	0.002643	7.047E-8
5.975E-5	0.00478	1.275E-7
1.053E-4	0.008427	2.247E-7
1.508E-4	0.01207	3.218E-7
1.956E-4	0.01565	4.173E-7
2.405E-4	0.01924	5.131E-7
2.85E-4	0.0228	6.08E-7
3.295E-4	0.02636	7.03E-7
3.742E-4	0.02994	7.986E-7
4.193E-4	0.03354	8.948E-7
4.647E-4	0.03718	9.918E-7
5.105E-4	0.04084	1.09E-6
5.566E-4	0.04453	1.188E-6
6.031E-4	0.04824	1.288E-6
6.499E-4	0.05199	1.388E-6
6.972E-4	0.05578	1.489E-6
7.449E-4	0.05959	1.591E-6
7.93E-4	0.06344	1.694E-6
8.416E-4	0.06733	1.798E-6
8.907E-4	0.07126	1.904E-6
9.404E-4	0.07523	2.01E-6
9.906E-4	0.07925	2.118E-6
0.001041	0.08331	2.227E-6
0.001093	0.08742	2.338E-6
0.001145	0.09159	2.45E-6
0.001198	0.09582	2.563E-6
0.001251	0.1001	2.679E-6
0.001306	0.1045	2.797E-6
0.001361	0.1089	2.916E-6
0.001418	0.1134	3.039E-6
0.001476	0.1181	3.164E-6
0.001535	0.1228	3.291E-6
0.001595	0.1276	3.423E-6
0.001658	0.1326	3.558E-6
0.001722	0.1378	3.698E-6
0.001789	0.1431	3.843E-6
0.001858	0.1487	3.995E-6
0.001932	0.1545	4.155E-6
0.00201	0.1608	4.327E-6
0.002096	0.1677	4.514E-6
0.002194	0.1755	4.73E-6
0.002294	0.1835	4.95E-6
0.002394	0.1915	5.171E-6
0.002494	0.1995	5.393E-6
0.002581	0.2065	5.586E-6
0.002657	0.2125	5.756E-6
0.002726	0.2181	5.911E-6
0.002791	0.2233	6.056E-6
0.002853	0.2282	6.194E-6
0.002912	0.2329	6.327E-6
0.002969	0.2375	6.456E-6
0.003025	0.242	6.582E-6
0.003079	0.2463	6.704E-6
0.003132	0.2505	6.824E-6
0.003184	0.2547	6.942E-6
0.003234	0.2587	7.057E-6
0.003284	0.2627	7.171E-6
0.003333	0.2666	7.283E-6
0.003381	0.2705	7.393E-6
0.003428	0.2743	7.501E-6
0.003475	0.278	7.608E-6
0.003521	0.2817	7.714E-6
0.003567	0.2853	7.819E-6
0.003611	0.2889	7.923E-6
0.003656	0.2925	8.025E-6
0.003699	0.296	8.126E-6
0.003743	0.2994	8.227E-6
0.003786	0.3028	8.326E-6
0.003828	0.3062	8.425E-6
