Pulse Number	Voltage (V)	Measurements (Ù)
1	0	13397.648438
2	0	13741.644531
3	0	13619.267578
4	0	13639.21875
5	0	13610.373047
6	0	13452.297852
7	0	13351.091797
8	0	13819.798828
9	0	13786.938477
10	0	14002.057617
11	-0.2	14002.057617
12	-0.2	14002.057617
13	-0.2	14002.057617
14	-0.2	14002.057617
15	-0.2	14002.057617
16	-0.2	14002.057617
17	-0.2	14002.057617
18	-0.2	14002.057617
19	-0.2	14002.057617
20	-0.2	14002.057617
21	0	14002.057617
22	-0.2	14002.057617
23	-0.2	14002.057617
24	-0.2	14002.057617
25	-0.2	14002.057617
26	-0.2	14002.057617
27	-0.2	14002.057617
28	-0.2	14002.057617
29	-0.2	14002.057617
30	-0.2	14002.057617
31	-0.2	14002.057617
32	0	14002.057617
33	-0.2	14002.057617
34	-0.2	14002.057617
35	-0.2	14002.057617
36	-0.2	14002.057617
37	-0.2	14002.057617
38	-0.2	14002.057617
39	-0.2	14002.057617
40	-0.2	14002.057617
41	-0.2	14002.057617
42	-0.2	14002.057617
43	0	14002.057617
44	-0.2	14002.057617
45	-0.2	14002.057617
46	-0.2	14002.057617
47	-0.2	14002.057617
48	-0.2	14002.057617
49	-0.2	14002.057617
50	-0.2	14002.057617
51	-0.2	14002.057617
52	-0.2	14002.057617
53	-0.2	14002.057617
54	0	14002.057617
55	-0.2	14002.057617
56	-0.2	14002.057617
57	-0.2	14002.057617
58	-0.2	14002.057617
59	-0.2	14002.057617
60	-0.2	14002.057617
61	-0.2	14002.057617
62	-0.2	14002.057617
63	-0.2	14002.057617
64	-0.2	14002.057617
65	0	14002.057617
66	-0.2	14002.057617
67	-0.2	14002.057617
68	-0.2	14002.057617
69	-0.2	14002.057617
70	-0.2	14002.057617
71	-0.2	14002.057617
72	-0.2	14002.057617
73	-0.2	14002.057617
74	-0.2	14002.057617
75	-0.2	14002.057617
76	0	14002.057617
77	-0.2	14002.057617
78	-0.2	14002.057617
79	-0.2	14002.057617
80	-0.2	14002.057617
81	-0.2	14002.057617
82	-0.2	14002.057617
83	-0.2	14002.057617
84	-0.2	14002.057617
85	-0.2	14002.057617
86	-0.2	14002.057617
87	0	14002.057617
88	-0.2	14002.057617
89	-0.2	14002.057617
90	-0.2	14002.057617
91	-0.2	14002.057617
92	-0.2	14002.057617
93	-0.2	14002.057617
94	-0.2	14002.057617
95	-0.2	14002.057617
96	-0.2	14002.057617
97	-0.2	14002.057617
98	0	14002.057617
99	-0.2	14002.057617
100	-0.2	14002.057617
101	-0.2	14002.057617
102	-0.2	14002.057617
103	-0.2	14002.057617
104	-0.2	14002.057617
