Pulse Number	time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
		Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
1	0	250	250	250	250	250	250
2	1E-6	298.518	357.143	433.962	506.739	628.032	729.111
3	2E-6	314.69	377.358	466.307	535.04	674.528	797.844
4	3E-6	324.798	383.423	464.286	545.148	690.701	809.973
5	4E-6	328.841	389.488	468.329	551.213	698.787	876.685
6	5E-6	332.884	395.553	474.394	553.234	698.787	860.512
7	6E-6	332.884	395.553	478.437	563.342	688.679	856.469
8	7E-6	338.949	405.66	478.437	565.364	690.701	888.814
9	8E-6	342.992	399.596	484.501	567.385	696.766	909.03
10	9E-6	342.992	399.596	486.523	569.407	716.981	913.073
11	1E-5	345.013	407.682	488.544	573.45	721.024	931.267
12	1.1E-5	347.035	403.639	490.566	585.58	743.261	927.224
13	1.2E-5	351.078	409.703	494.609	587.601	733.154	937.332
14	1.3E-5	353.1	409.703	496.631	587.601	727.089	957.547
15	1.4E-5	357.143	413.747	496.631	587.601	721.024	941.375
16	1.5E-5	357.143	415.768	498.652	591.644	741.24	947.439
17	1.6E-5	357.143	415.768	502.695	591.644	761.456	955.526
18	1.7E-5	355.121	419.811	500.674	597.709	769.542	943.396
19	1.8E-5	355.121	417.79	500.674	587.601	789.757	911.051
20	1.9E-5	359.164	419.811	506.739	585.58	743.261	949.461
21	2E-5	357.143	421.833	508.76	603.774	769.542	961.59
22	2.1E-5	361.186	423.854	510.782	595.687	789.757	927.224
23	2.2E-5	361.186	419.811	504.717	593.666	765.499	965.633
24	2.3E-5	357.143	423.854	510.782	599.73	757.412	981.806
25	2.4E-5	361.186	427.898	500.674	609.838	797.844	965.633
