time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
0	250.000000000487	250.000000000054	250	250	250	250
2.4024024024024E-8	597.143133933414	425.029727412252	304.294356199062	260.552596544581	252.408117918891	250.861614866149
4.8048048048048E-8	635.563089267166	462.304145521335	331.193715724887	269.40539200886	254.713159798896	251.709085549372
7.20720720720721E-8	658.026747916617	484.383518348952	349.21730982024	277.02912736498	256.923465038552	252.542853034927
9.60960960960961E-8	673.951856822801	500.117923415421	362.785177485059	283.722570101804	259.04640028787	253.363338009888
1.2012012012012E-7	686.292886262388	512.346215573527	373.665604288144	289.687260871003	261.088505091376	254.170942090085
1.44144144144144E-7	696.366439939996	522.346163842883	382.746587130754	295.065601897431	263.055611254076	254.966048955721
1.68168168168168E-7	704.875022762183	530.80355638506	390.537783968404	299.96194675669	264.952941421908	255.749025403702
1.92192192192192E-7	712.238042198009	538.129418093568	397.358947570347	304.455053742642	266.785191074227	256.520222323899
2.16216216216216E-7	718.726059126301	544.589643259672	403.423933510602	308.605827384912	268.556597169015	257.279975605855
2.4024024024024E-7	724.523828336099	550.366182386519	408.882847281513	312.462337751545	270.270995966145	258.028606981793
2.64264264264264E-7	729.763137774711	555.589036722239	413.845108004793	316.06319112351	271.931872013557	258.766424811218
2.88288288288288E-7	734.541300648646	560.354327186938	418.392941784236	319.439861981672	273.542399869084	259.493724811916
3.12312312312312E-7	738.932221336563	564.735132073984	422.589707120511	322.618348200229	275.105479813486	260.210790741674
3.36336336336336E-7	742.993349258464	568.788310350261	426.485259485555	325.620372275542	276.623768564143	260.917895034652
3.6036036036036E-7	746.770228144855	572.558972503051	430.119535163152	328.464270261504	278.099705806401	261.615299395991
3.84384384384384E-7	750.299574277307	576.083509723941	433.525019731404	331.165661042192	279.535537207914	262.303255357897
4.08408408408408E-7	753.611419988748	579.391705642877	436.728493434353	333.737958022053	280.933334461016	262.982004800156
4.32432432432432E-7	756.730643621057	582.508245094594	439.752293626706	336.192765762366	282.295012802093	263.651780437775
4.56456456456456E-7	759.678085317432	585.453815403558	442.615246263553	338.540191276414	283.622346379753	264.312806278218
4.80480480480481E-7	762.471376306688	588.245925508009	445.333365382002	340.789091111958	284.916981781167	264.965298050475
5.04504504504505E-7	765.125565665689	590.899525461846	447.920386640717	342.947269487884	286.180449975294	265.609463608027
5.28528528528528E-7	767.653601156377	593.427481989161	450.388180025999	345.021638678089	287.414176890249	266.245503307579
5.52552552552553E-7	770.066703099751	595.840948452373	452.747073145241	347.018349958694	288.619492808072	266.873610365306
5.76576576576577E-7	772.374658627639	598.149656173669	455.00610739102	348.942901373026	289.797640732109	267.493971192184
6.00600600600601E-7	774.586055831803	600.362146356395	457.173243037656	350.800227071275	290.949783858934	268.106765709857
6.24624624624625E-7	776.708471965593	602.485956572634	459.25552501995	352.594771880538	292.077012267412	268.712167648399
