time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = -1 V	Vb = -1.15 V	Vb = -1.3 V	Vb = -1.45 V	Vb = -1.6 V	Vb = -1.75 V
0	249.989751189684	249.989751189684	249.989751189684	249.989751189684	249.989751189684	249.989751189684
2.4E-8	249.989751286042	249.989790608915	249.993497583578	250.136272602838	253.128922900658	291.331198659929
4.8E-8	249.9897513824	249.989830028141	249.997243935037	250.282729110141	256.23806023786	327.566009970238
7.2E-8	249.989751478758	249.989869447363	250.00099024361	250.429120054904	259.317450174438	359.459535041192
9.6E-8	249.989751575116	249.989908866579	250.004736509298	250.575445466492	262.367417661024	387.671496809337
1.2E-7	249.989751671473	249.989948285791	250.008482732101	250.721705382401	265.388285513833	412.760055013574
1.44E-7	249.989751767831	249.989987704998	250.012228912021	250.86789983503	268.380374451503	435.192466516264
1.68E-7	249.989751864189	249.990027124201	250.015975049056	251.014028857248	271.344003043355	455.357785469158
1.92E-7	249.989751960547	249.990066543399	250.019721143209	251.160092482065	274.279487603268	473.579418235941
2.16E-7	249.989752056905	249.990105962592	250.023467194479	251.306090742483	277.187142144308	490.126431573861
2.4E-7	249.989752153263	249.99014538178	250.027213202867	251.452023671496	280.067278321147	505.223204270161
2.64E-7	249.989752249621	249.990184800963	250.030959168374	251.597891302087	282.920205383212	519.057483734221
2.88E-7	249.989752345979	249.990224220142	250.034705091	251.743693667233	285.746230128985	531.78708917858
3.12E-7	249.989752442336	249.990263639316	250.038450970745	251.889430799902	288.54565686102	543.545277474167
3.36E-7	249.989752538694	249.990303058485	250.042196807611	252.03510273305	291.318787346315	554.445106237922
3.6E-7	249.989752635052	249.99034247765	250.045942601598	252.18070949963	294.065920779724	564.582978974148
3.84E-7	249.98975273141	249.990381896809	250.049688352706	252.326251132581	296.787353750624	574.04146661023
4.08E-7	249.989752827768	249.990421315964	250.053434060937	252.471727664836	299.483380212375	582.891676127731
4.32E-7	249.989752924126	249.990460735115	250.057179726289	252.61713912932	302.154291454732	591.195102130263
4.56E-7	249.989753020484	249.99050015426	250.060925348765	252.762485558947	304.800376079153	599.005173489317
4.8E-7	249.989753116841	249.990539573401	250.064670928364	252.907766986624	307.421919976795	606.36851415993
5.04E-7	249.989753213199	249.990578992537	250.068416465087	253.052983445248	310.019206309093	613.325980237885
5.28E-7	249.989753309557	249.990618411668	250.072161958935	253.198134967708	312.592515490841	619.913517216232
5.52E-7	249.989753405915	249.990657830795	250.075907409909	253.343221586883	315.142125175673	626.162871580198
5.76E-7	249.989753502273	249.990697249916	250.079652818008	253.488243335646	317.668310243856	632.102184107751
6E-7	249.989753598631	249.990736669033	250.083398183233	253.633200246858	320.171342792282	637.756486701049
6.24E-7	249.989753694989	249.990776088146	250.087143505586	253.778092353372	322.65149212658	643.14812020304
6.48E-7	249.989753791347	249.990815507253	250.090888785065	253.922919688034	325.109024755243	648.297087234121
6.72E-7	249.989753887704	249.990854926356	250.094634021673	254.067682283678	327.544204385696	653.221351363635
6.96E-7	249.989753984062	249.990894345454	250.09837921541	254.212380173132	329.957291922203	657.937091778278
7.2E-7	249.98975408042	249.990933764547	250.102124366275	254.357013389213	332.348545465541	662.458920895035
7.44E-7	249.989754176778	249.990973183636	250.10586947427	254.501581964729	334.718220314346	666.800070996826
7.68E-7	249.989754273136	249.99101260272	250.109614539396	254.646085932482	337.06656896807	670.972554871336
7.92E-7	249.989754369494	249.991052021799	250.113359561652	254.790525325261	339.393841131443	674.987304550057
8.16E-7	249.989754465852	249.991091440873	250.117104541039	254.934900175848	341.700283720393	678.854291530972
8.4E-7	249.98975456221	249.991130859942	250.120849477559	255.079210517016	343.98614086933	682.582631289607
8.64E-7	249.989754658567	249.991170279007	250.12459437121	255.223456381529	346.25165393974	686.180674412169
8.88E-7	249.989754754925	249.991209698067	250.128339221995	255.367637802142	348.497061530001	689.656086299619
9.12E-7	249.989754851283	249.991249117122	250.132084029913	255.511754811599	350.722599486372	693.015917075883
9.36E-7	249.989754947641	249.991288536173	250.135828794966	255.655807442639	352.928500915076	696.266663073667
9.6E-7	249.989755043999	249.991327955219	250.139573517153	255.799795727988	355.114996195436	699.414321056709
9.84E-7	249.989755140357	249.99136737426	250.143318196475	255.943719700364	357.282312993973	702.464436159449
1.008E-6	249.989755236715	249.991406793296	250.147062832933	256.087579392476	359.430676279434	705.422144377164
1.032E-6	249.989755333073	249.991446212328	250.150807426527	256.231374837026	361.560308338687	708.292210316118
1.056E-6	249.98975542943	249.991485631354	250.154551977258	256.375106066702	363.671428793425	711.079060809953
1.08E-6	249.989755525788	249.991525050376	250.158296485127	256.518773114188	365.764254617624	713.786814921707
1.104E-6	249.989755622146	249.991564469394	250.162040950133	256.662376012155	367.839000155717	716.419310777724
1.128E-6	249.989755718504	249.991603888406	250.165785372278	256.805914793267	369.895877141432	718.980129617935
1.152E-6	249.989755814862	249.991643307414	250.169529751562	256.949389490177	371.935094717235	721.472617394598
1.176E-6	249.98975591122	249.991682726417	250.173274087986	257.092800135531	373.956859454351	723.899904207119
