Pulse Number	time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
		Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
1	0	740.843	733.05	733.05	733.05	733.05	733.05	733.05	733.05
2	1E-6	726.88	689.474	628.695	563.244	507.14	396.491	329.474	317.01
3	2E-6	719.148	672.395	592.915	521.226	440.187	352.915	292.135	271.876
4	3E-6	712.975	658.429	568.043	502.588	419.991	337.394	278.17	254.793
5	4E-6	706.805	644.467	546.285	487.064	401.35	326.545	270.441	248.623
6	5E-6	699.076	638.297	533.881	474.66	388.946	320.375	265.829	244.011
7	6E-6	696.019	630.565	518.357	463.811	378.1	314.201	262.776	239.396
8	7E-6	692.966	625.953	509.07	457.641	370.368	309.589	259.719	236.342
9	8E-6	688.354	618.221	506.016	453.029	364.198	306.536	258.224	234.844
10	9E-6	683.739	612.054	498.284	446.856	358.025	305.038	255.171	233.349
11	1E-5	683.802	604.322	495.231	445.361	353.413	301.984	253.673	231.854
12	1.1E-5	679.187	604.385	490.616	440.746	347.239	300.486	252.174	228.801
13	1.2E-5	677.693	601.329	489.121	439.251	344.186	298.991	250.68	228.861
14	1.3E-5	674.639	598.275	486.068	434.639	339.574	299.055	249.185	225.808
15	1.4E-5	673.141	593.664	484.57	433.144	338.076	295.998	249.248	224.31
16	1.5E-5	668.529	590.61	481.516	431.646	335.023	294.503	246.195	224.376
17	1.6E-5	667.031	590.667	476.904	428.593	333.524	293.008	246.255	224.437
18	1.7E-5	665.536	587.617	473.848	425.536	332.03	291.513	244.76	222.939
19	1.8E-5	662.483	584.561	472.353	422.483	328.976	291.574	244.823	223.002
20	1.9E-5	657.871	581.507	470.858	422.546	327.481	290.079	244.884	221.507
21	2E-5	654.814	576.895	469.36	421.048	325.983	290.139	243.389	221.567
22	2.1E-5	651.761	575.397	466.306	421.111	324.488	290.202	241.891	221.631
23	2.2E-5	647.146	573.902	464.811	418.055	322.99	287.146	241.951	220.133
24	2.3E-5	645.651	570.846	464.872	418.118	319.937	287.209	240.456	220.196
25	2.4E-5	644.156	569.351	461.818	416.623	316.883	285.714	240.519	218.701
