time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 0.65 V	Vb = 0.7 V	Vb = 0.75 V	Vb = 0.8 V	Vb = 0.85 V	Vb = 0.9 V	Vb = 0.95 V	Vb = 1 V
0	741.000000000033	741.000000000033	741.000000000033	741.000000000033	741.000000000033	741.000000000033	741.000000000033	741.000000000033
2.4E-8	740.794413755708	739.472173960139	732.252114483799	705.497835272997	650.092549818927	582.422429998617	518.137945329125	461.093045022456
4.8E-8	740.589493821293	737.980784247831	724.588332244077	683.323109791057	616.742919565266	547.049161306278	484.24777539823	429.234347731667
7.2E-8	740.385243112228	736.524239561617	717.776532454668	667.28809712734	596.286346687056	526.616074313068	464.964838779223	411.153649536305
9.6E-8	740.18165790213	735.101004186531	711.651237859798	654.77610305143	581.60211059828	512.308409253013	451.535081475924	398.56719770495
1.2E-7	739.978733469641	733.709644946577	706.090508447433	644.543758527334	570.187181464838	501.335513677212	441.262377804951	388.93953675212
1.44E-7	739.776465780873	732.348817003966	701.00195778551	635.904121720851	560.872188019909	492.456437637061	432.961990601488	381.159108734654
1.68E-7	739.574850778289	731.017256042899	696.313930713481	628.4383513981	553.017525325518	485.012034967532	426.008888276165	374.640170926404
1.92E-7	739.373884420539	729.713774381026	691.969770257375	621.872556563748	546.235777983972	478.610800507127	420.033394323272	369.036515875243
2.16E-7	739.1735627075	728.437254442604	687.923950853796	616.018035975666	540.274772553373	473.001476351448	414.798987540826	364.126688828871
2.4E-7	738.973881673233	727.186642877623	684.139320311579	610.739394714336	534.96136245662	468.013337830562	410.145285779162	359.760580929736
2.64E-7	738.774837387432	725.960946132165	680.585189881472	605.936193795483	530.171631301261	463.525172305209	405.958616715225	355.831792199404
2.88E-7	738.576425955566	724.759226128907	677.23592895842	601.531981664383	525.813837452366	459.447884697042	402.155538640393	352.262220360526
3.12E-7	738.37864351826	723.580596060096	674.069910687001	597.467229523994	521.818261870815	455.714078062658	398.672970305382	348.992839100279
3.36E-7	738.181486250815	722.424216778756	671.068725234603	593.69466764554	518.13068650727	452.271592824307	395.462148089881	345.978003497409
3.6E-7	737.984950362825	721.289293472421	668.216574054828	590.176190717235	514.708104700499	449.079206517633	392.484551449966	343.181661469765
3.84E-7	737.789032097773	720.175072615282	665.499804985752	586.88062643483	511.515873921141	446.103825626301	389.709289128717	340.574889005413
4.08E-7	737.593727732622	719.080839176676	662.906536224067	583.782147136623	508.525678300072	443.318471681226	387.111157224786	338.134100927284
4.32E-7	737.399033577425	718.005914060547	660.426369229681	580.859135342934	505.714071164603	440.700851241921	384.669362333754	335.839826357866
4.56E-7	737.204945974933	716.949651753453	658.050151425121	578.093306305333	503.061434217645	438.232355581257	382.366543734002	333.675812584818
4.8E-7	737.011461300216	715.911438161113	655.769786029516	575.469070289874	500.551183556326	435.897286666018	380.18806099325	331.62835223829
5.04E-7	736.818575960285	714.890688615686	653.57807653173	572.97302461297	498.169183880989	433.682282911013	378.121459627203	329.685778992138
5.28E-7	736.626286393722	713.886846037916	651.468598730609	570.593565992754	495.903286622332	431.575880827897	376.156047512178	327.83808468129
5.52E-7	736.434589070311	712.89937923996	649.435594652163	568.320583555026	493.742976976263	429.568167557769	374.282587594232	326.076615160865
5.76E-7	736.243480490679	711.927781356204	647.473884015044	566.145214596909	491.679094578182	427.650519704255	372.493042730454	324.393842774135
6E-7	736.052957185943	710.971568390693	645.578789881575	564.059648251939	489.703611412443	425.815387603461	370.780377872572	322.783177395793
6.24E-7	735.863015717354	710.030277870958	643.746075856918	562.0569661654	487.809453374852	424.056125305941	369.138400608543	321.238817828943
6.48E-7	735.673652675955	709.103467599045	641.97189275366	560.131012156808	485.990355540824	422.366852358057	367.561632241663	319.755631070045
6.72E-7	735.484864682243	708.190714491465	640.252733063695	558.276284768287	484.240743816113	420.742341048112	366.045202571912	318.329053834372
6.96E-7	735.296648385825	707.291613500608	638.585391908046	556.487848049995	482.555637405718	419.17792362994	364.584763328484	316.955011542787
7.2E-7	735.109000465097	706.405776610853	636.966933391635	554.761256997218	480.930567863901	417.669415421225	363.176416437223	315.629851181709
7.44E-7	734.921917626909	705.532831903286	635.394661491479	553.092494848843	479.36151145949	416.213050635585	361.816654175136	314.350285287992
7.68E-7	734.73539660625	704.672422683477	633.86609476617	551.477920057076	477.844832316305	414.805428501602	360.502308927703	313.113344919284
7.92E-7	734.549434165926	703.824206667301	632.378944301487	549.914221195313	476.377234335853	413.44346775463	359.230510760043	311.91633993649
8.16E-7	734.364027096249	702.987855220249	630.931094408759	548.398378422419	474.955720326073	412.12436798953	357.998651389718	310.756825277022
8.4E-7	734.179172214729	702.163052646065	629.520585674636	546.927630393987	473.577557079976	410.845576671342	356.804353437741	309.632572167697
8.64E-7	733.994866365771	701.349495520939	628.145600027495	545.499445723859	472.24024539598	409.604760839755	355.645444057595	308.541543435002
