Pulse Number	time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
		Vb = -7 V 	Vb = -8 V 	Vb = -9 V 	Vb = -10 V 
0	0	1174508.46820606	1168661.18175019	1144714.85153048	1157132.85620889
1	5E-5	1895536.95823184	1707912.75981623	1508136.39585564	1411950.7511578
2	1E-4	2213836.70076344	1933002.14563238	1680997.16751977	1537787.27788585
3	1.5E-4	2414266.38290989	2091503.26797386	1780468.26315321	1620627.34484519
4	2E-4	2550724.341945	2205514.22666952	1865393.22489181	1680997.16751977
5	2.5E-4	2660618.19463752	2278316.91616136	1929831.33274152	1728025.98951088
6	3E-4	2754304.97868168	2356090.02148754	1981983.76755294	1772405.42001577
7	3.5E-4	2868786.03015955	2434301.25208285	2026482.06766018	1813499.69170505
8	4E-4	2948074.09689435	2485877.11066503	2069371.54220949	1844865.27871302
9	4.5E-4	3024053.32010814	2534195.80463884	2106522.63669225	1874326.41394499
10	5E-4	3095865.0079022	2595868.67500373	2141119.01302978	1898595.98826668
11	5.5E-4	3154121.4115955	2630793.17098709	2168823.38078357	1929831.33274152
12	6E-4	3214612.34186116	2666666.66666667	2213836.70076344	1945828.14445828
13	6.5E-4	3259261.1906733	2703532.02941984	2230671.51019807	1968678.32780463
14	7E-4	3314501.4409795	2735042.73504274	2265121.09903676	1988704.1603691
15	7.5E-4	3361988.68354609	2767296.64174716	2287199.00461099	2012578.6163522
16	8E-4	3420797.42208706	2793651.14840015	2305172.57674496	2033506.0796748
17	8.5E-4	3420797.42208706	2820512.45890866	2328042.08168867	2044134.91699279
18	9E-4	3492065.15495166	2861787.12882621	2356090.02148754	2065727.3116005
19	9.5E-4	3523521.2662126	2882882.88288288	2370370.37037037	2076696.55725245
20	0.001	3577235.19069347	2918740.79684542	2384824.88230889	2095239.092971
