time (s)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)	Resistance (Ù)
	Vb = 8.7 V	Vb = 9 V	Vb = 9.2 V	Vb = 9.5 V
0	2383639.99999928	2383639.99999936	2383640.00000039	2383639.99999983
1.001001001001E-6	2088205.3363921	2135458.30159038	2173904.19000284	2236539.96933735
2.002002002002E-6	1989090.74625562	2041291.16246442	2085134.99243488	2160492.62549469
3.003003003003E-6	1927895.65298627	1981985.70097445	2027984.42126545	2108839.54960546
4.004004004004E-6	1883507.04328176	1938594.45361817	1985752.50597808	2069675.29489423
5.005005005005E-6	1848655.48316623	1904359.17405616	1952241.41651894	2038121.65214047
6.00600600600601E-6	1819959.17291518	1876081.37432294	1924458.90560295	2011696.75773071
7.00700700700701E-6	1795567.0042732	1851991.93223952	1900729.53804462	1988964.25128366
8.00800800800801E-6	1774354.77894082	1831008.82031421	1880019.98376924	1969017.71497526
9.00900900900901E-6	1755588.29511907	1812421.74531635	1861647.768672	1951248.30100275
1.001001001001E-5	1738761.51112858	1795739.23190942	1845138.46421711	1935227.23236446
1.1011011011011E-5	1723510.81975194	1780607.05399934	1830148.87277631	1920641.12277992
1.2012012012012E-5	1709566.14933896	1766761.45454387	1816422.68799461	1907253.95925804
1.3013013013013E-5	1696721.40039488	1754000.74046988	1803763.43172107	1894883.55694325
1.4014014014014E-5	1684815.71160571	1742167.21885657	1792017.17029456	1883386.34036974
1.5015015015015E-5	1673721.11820893	1731135.26156734	1781061.0539524	1872647.14992363
1.6016016016016E-5	1663334.15168766	1720803.161079	1770795.47299171	1862572.20509435
1.7017017017017E-5	1653569.96064158	1711087.41832935	1761138.54196799	1853084.11949503
1.8018018018018E-5	1644358.09601182	1701918.63998281	1752022.12903979	1844118.28913577
1.9019019019019E-5	1635639.42542509	1693238.52986984	1743388.93848962	1835620.22359706
2.002002002002E-5	1627363.8320595	1684997.64208994	1735190.32802801	1827543.53931288
2.1021021021021E-5	1619488.47021446	1677153.67549551	1727384.64941899	1819848.4271312
2.2022022022022E-5	1611976.42339924	1669670.16019433	1719935.96872603	1812500.46568987
2.3023023023023E-5	1604795.65838423	1662515.43267825	1712813.06650608	1805469.6909925
2.4024024024024E-5	1597918.20018283	1655661.82666445	1705988.64753511	1798729.85854474
2.5025025025025E-5	1591319.474227	1649085.0273599	1699438.70948333	1792257.85212291
2.6026026026026E-5	1584977.77665611	1642763.55107473	1693142.03365572	1786033.20554011
2.7027027027027E-5	1578873.84389793	1636678.32207328	1687079.77052738	1780037.71244549
2.8028028028028E-5	1572990.50001187	1630812.32564317	1681235.09965748	1774255.10539918
2.9029029029029E-5	1567312.36552231	1625150.32147875	1675592.94851758	1768670.78996848
3.003003003003E-5	1561825.61530805	1619678.60521838	1670139.75839651	1763271.62290007
3.1031031031031E-5	1556517.77595281	1614384.80874164	1664863.28822881	1758045.72588126
3.2032032032032E-5	1551377.5550813	1609257.73190392	1659752.44920519	1752982.32825137
3.3033033033033E-5	1546394.69680798	1604287.19995063	1654797.16454491	1748071.63342541
3.4034034034034E-5	1541559.85864589	1599463.94204699	1649988.2499716	1743304.7048653
3.5035035035035E-5	1536864.50616224	1594779.4872787	1645317.31132941	1738673.36826368
3.6036036036036E-5	1532300.82239656	1590226.07519232	1640776.65647222	1734170.12725034
3.7037037037037E-5	1527861.62962613	1585796.57850218	1636359.21910242	1729788.09043807
3.8038038038038E-5	1523540.32151258	1581484.43603074	1632058.492666	1725520.90802541
3.9039039039039E-5	1519330.80401943	1577283.59429842	1627868.47275161	1721362.71649234
4.004004004004E-5	1515227.44377403	1573188.45645769	1623783.60671331	1717308.09017975
4.1041041041041E-5	1511225.02277616	1569193.8374905	1619798.74945669	1713351.9987495
4.2042042042042E-5	1507318.69853946	1565294.92476915	1615909.12450516	1709489.76968867
4.3043043043043E-5	1503503.96890208	1561487.24322813	1612110.28960703	1705717.05515612
4.4044044044044E-5	1499776.64086514	1557766.62451477	1608398.10626261	1702029.80258235
4.5045045045045E-5	1496132.80291806	1554129.17958543	1604768.71264699	1698424.2285235
4.6046046046046E-5	1492568.8003929	1550571.27429551	1601218.49948431	1694896.79534685
4.7047047047047E-5	1489081.21345839	1547089.50759909	1597744.08849569	1691444.19038752
4.8048048048048E-5	1485666.83742123	1543680.69203057	1594342.31309825	1688063.30726863
4.9049049049049E-5	1482322.66505079	1540341.83618737	1591010.20107887	1684751.229121
5.005005005005E-5	1479045.87068224	1537070.1289725	1587744.95900491	1681505.21347501
5.10510510510511E-5	1475833.79588818	1533862.92538906	1584543.95816732	1678322.67862869
5.20520520520521E-5	1472683.93653619	1530717.73370673	1581404.72187862	1675201.19132229
