Voltage (V)	Current (A)	Current (A)	Current (A)	Current (A)	Current (A)
	R = 4.85 KÙ	R = 5.11 KÙ	R = 5.32 KÙ	R = 5.50 KÙ	R = 5.70 KÙ
0.097574	1.57407883435589E-5	1.48864263060895E-5	1.42752898515932E-5	1.38358699107592E-5	1.34126902530679E-5
0.198	3.2742061700067E-5	3.09430196697441E-5	2.96758784909077E-5	2.87581151317679E-5	2.78262846947276E-5
0.298378	5.2170130678941E-5	4.92314516890547E-5	4.71317726106052E-5	4.56298996843538E-5	4.41514605771634E-5
0.396854	7.48648312754445E-5	7.0759471609411E-5	6.78558796405676E-5	6.56472881944885E-5	6.3419123103477E-5
0.497909	1.02492480574112E-4	9.72764394205738E-5	9.35132882155129E-5	9.04055239433323E-5	8.73078133729759E-5
0.396709	7.48758736231357E-5	7.07187077576787E-5	6.77835906196305E-5	6.55157388115181E-5	6.34370578526284E-5
0.298185	5.21561271806397E-5	4.92224242918506E-5	4.71034981681026E-5	4.56279238961681E-5	4.41278596820561E-5
0.19792	3.27502259938553E-5	3.09207286747605E-5	2.96637879167418E-5	2.87324949301245E-5	2.78081314497844E-5
0.097525	1.57254725119269E-5	1.48884575388924E-5	1.42721479690345E-5	1.38182552917694E-5	1.34096034735362E-5
-0.09925	1.61960586726611E-5	1.53484654735716E-5	1.47025209653576E-5	1.42626473158864E-5	1.38060760608905E-5
-0.201836	3.35583777799685E-5	3.17855168880457E-5	3.04891692319314E-5	2.95195853101736E-5	2.85808589337351E-5
-0.301021	5.28178666979819E-5	5.00006809905134E-5	4.78938630595816E-5	4.63309298848925E-5	4.4851496110527E-5
-0.402431	7.62775578932846E-5	7.23345416500844E-5	6.93887379986509E-5	6.70380251745705E-5	6.49299880652095E-5
-0.502261	1.03496585233145E-4	9.863041584654E-5	9.49185325745546E-5	9.17519315121424E-5	8.87845527909298E-5
-0.402512	7.6267120597217E-5	7.2304334888063E-5	6.93814737053322E-5	6.70015223138796E-5	6.48482175408229E-5
-0.300796	5.28341018126494E-5	4.99857776298799E-5	4.78905389904314E-5	4.62962482935869E-5	4.47996011903298E-5
-0.201723	3.35753929433717E-5	3.17678189379211E-5	3.04778554903905E-5	2.9512412101782E-5	2.85638114579201E-5
-0.099621	1.619774202156E-5	1.53484448035838E-5	1.46916263982013E-5	1.42413532786616E-5	1.37934315913416E-5
