Voltage (V)	Current (A)	Current (A)	Current (A)	Current (A)	Current (A)
	R = 4.85 KÙ	R = 5.11 KÙ	R = 5.32 KÙ	R = 5.50 KÙ	R = 5.70 KÙ
-0.5	1.05825367704025E-4	1.00459077359104E-4	9.65541867577619E-5	9.33361783274326E-5	9.01293626677811E-5
-0.49	1.02365017888272E-4	9.71741981531785E-5	9.33969923193556E-5	9.02842085163589E-5	8.71822514952152E-5
-0.48	9.89968034984637E-5	9.39767822850463E-5	9.03238614785229E-5	8.73135005873168E-5	8.43136102339735E-5
-0.47	9.5717692914289E-5	9.08639518645938E-5	8.73320282100644E-5	8.44213807026414E-5	8.15208569132817E-5
-0.46	9.25247347148753E-5	8.78329051343203E-5	8.44187996620837E-5	8.16052457592125E-5	7.88014778666349E-5
-0.45	8.94150550223119E-5	8.48809139475665E-5	8.15815537322388E-5	7.88625610454862E-5	7.61530254693273E-5
-0.44	8.63858549149659E-5	8.20053213129991E-5	7.8817736707673E-5	7.61908579600835E-5	7.35731159354256E-5
-0.43	8.34344079082635E-5	7.92035390031387E-5	7.6124860966501E-5	7.3587731789882E-5	7.10594271722001E-5
-0.42	8.055805750067E-5	7.64730452247804E-5	7.35005027387811E-5	7.10508395456123E-5	6.86096966900847E-5
-0.41	7.77542147826592E-5	7.38113823492098E-5	7.09422999249588E-5	6.85778978530092E-5	6.6221719566284E-5
-0.4	7.50203561065197E-5	7.12161547001713E-5	6.8447949969818E-5	6.61666808976208E-5	6.3893346460193E-5
-0.39	7.2354020814902E-5	6.86850263975975E-5	6.60152077900251E-5	6.38150184214252E-5	6.16224816788465E-5
-0.38	6.97528090260606E-5	6.621571925516E-5	6.36418837534036E-5	6.15207937694519E-5	5.94070812906533E-5
-0.37	6.72143794737986E-5	6.38060107297473E-5	6.13258417081161E-5	5.92819419846493E-5	5.72451512857199E-5
-0.36	6.47364474001697E-5	6.14537319210263E-5	5.90649970599844E-5	5.70964479492839E-5	5.51347457811073E-5
