time (s)	Resistance (Ù)	Resistance (Ù)
	Device 1	Device 2
0	10000	17000
1.044E-7	10000	17000
1.566E-7	10000	17000
2.609E-7	10000	17000
3.131E-7	10000	17000
4.175E-7	10000	17000
4.697E-7	10000	17000
5.741E-7	10000	17000
6.262E-7	10000	17000
7.306E-7	10000	17000
7.828E-7	10000	17000
8.872E-7	10000	17000
9.394E-7	10000	17000
1.044E-6	10000	17000
1.096E-6	10000	17000
1.2E-6	10000	17000
1.409E-6	10000	17000
1.513E-6	10000	17000
1.722E-6	10000	17000
2.14E-6	10000	17000
2.975E-6	10000	17000
3.392E-6	10000	17000
4.227E-6	10000	17000
4.645E-6	10000	17000
5.48E-6	10000	17000
7.15E-6	10000	17000
7.985E-6	10000	17000
9.655E-6	10000	17000
1.299E-5	10000	17000
1.967E-5	10000	17000
3.303E-5	10000	17000
5.975E-5	10000	17000
1.053E-4	10000	17000
1.508E-4	10000	17000
1.956E-4	10000	17000
2.405E-4	10000	17000
2.85E-4	10000	17000
3.295E-4	10000	17000
3.742E-4	10000	17000
4.193E-4	10000	17000
4.647E-4	10000	17000
5.105E-4	10000	17000
5.566E-4	10010	17000
6.031E-4	10010	17000
6.499E-4	10010	17000
6.972E-4	10010	17000
7.449E-4	10010	17000
7.93E-4	10010	17000
8.416E-4	10010	17000
8.907E-4	10010	17000
9.404E-4	10020	17000
9.906E-4	10020	17000
0.001041	10020	17000
0.001093	10020	17000
0.001145	10020	17000
0.001198	10020	17000
0.001251	10030	17000
0.001306	10030	17000
0.001361	10030	17000
0.001418	10030	17000
0.001476	10040	17000
0.001535	10040	17000
0.001595	10040	17000
0.001658	10050	17000
0.001722	10050	17000
0.001789	10060	17000
0.001858	10060	17000
0.001932	10060	17000
0.00201	10070	17000
0.002096	10080	17000
0.002194	10080	17000
0.002294	10090	17000
0.002394	10100	17000
0.002494	10110	17000
0.002581	10120	17000
0.002657	10120	17000
0.002726	10130	17000
0.002791	10140	17000
0.002853	10140	17000
0.002912	10150	17000
0.002969	10150	17000
0.003025	10160	17000
0.003079	10160	17000
0.003132	10170	17000
0.003184	10180	17000
0.003234	10180	17000
0.003284	10190	17000
0.003333	10190	17000
0.003381	10200	17000
0.003428	10200	17000
0.003475	10210	17000
0.003521	10220	17000
0.003567	10220	17000
0.003611	10230	17000
0.003656	10230	17000
0.003699	10240	17000
0.003743	10240	17000
0.003786	10250	17000
0.003828	10250	17000
0.00387	10260	17000
0.003911	10270	17000
0.003953	10270	17000
0.003993	10280	17000
0.004034	10280	17000
0.004074	10290	17000
0.004114	10290	17000
0.004153	10300	17000
0.004192	10310	17000
0.004231	10310	17000
0.00427	10320	17000
0.004308	10320	17000
0.004346	10330	17000
0.004384	10330	17000
0.004421	10340	17000
0.004459	10350	17000
0.004496	10350	17000
0.004532	10360	17000
0.004569	10360	17000
0.004605	10370	17000
0.004642	10370	17000
0.004678	10380	17000
0.004713	10390	17000
0.004749	10390	17000
0.004784	10400	17000
0.00482	10400	17000
0.004855	10410	17000
0.004889	10410	17000
0.004924	10420	17000
0.004959	10430	17000
0.004993	10430	17000
0.005027	10440	17000
0.005061	10440	17000
0.005095	10450	17000
0.005129	10460	17000
0.005162	10460	17000
0.005196	10470	17000
0.005229	10470	17000
0.005262	10480	17000
0.005296	10490	17000
0.005328	10490	17000
0.005361	10500	17000
0.005394	10500	17000
0.005426	10510	17000
0.005459	10520	17000
0.005491	10520	17000
0.005523	10530	17000
0.005556	10530	17000
0.005588	10540	17000
0.005619	10550	17000
0.005651	10550	17000
0.005683	10560	17000
0.005714	10570	17000
0.005746	10570	17000
0.005777	10580	17000
0.005809	10580	17000
0.00584	10590	17000
0.005871	10600	17000
0.005902	10600	17000
0.005933	10610	17000
0.005964	10610	17000
0.005994	10620	17000
0.006025	10630	17000
0.006056	10630	17000
0.006086	10640	17000
0.006116	10650	17000
0.006147	10650	17000
0.006177	10660	17000
0.006207	10660	17000
0.006237	10670	17000
0.006267	10680	17000
0.006297	10680	17000
0.006327	10690	17000
0.006357	10700	17000
0.006387	10700	17000
0.006416	10710	17000
0.006446	10720	17000
0.006476	10720	17000
0.006505	10730	17000
0.006535	10730	17000
0.006564	10740	17000
0.006593	10750	17000
0.006623	10750	17000
0.006652	10760	17000
0.006681	10770	17000
0.00671	10770	17000
0.006739	10780	17000
0.006768	10790	17000
0.006797	10790	17000
0.006826	10800	17000
0.006855	10810	17000
0.006883	10810	17000
0.006912	10820	17000
0.006941	10830	17000
0.006969	10830	17000
0.006998	10840	17000
0.007026	10850	17000
0.007055	10850	17000
0.007083	10860	17000
0.007112	10870	17000
0.00714	10870	17000
0.007168	10880	17000
0.007197	10890	17000
0.007225	10890	17000
0.007253	10900	17000
0.007281	10910	17000
0.007309	10910	17000
0.007337	10920	17000
0.007365	10930	17000
0.007393	10930	17000
0.007421	10940	17000
0.007449	10950	17000
0.007477	10950	17000
0.007505	10960	17000
0.007533	10970	17000
0.00756	10970	17000
0.007588	10980	17000
0.007616	10990	17000
0.007644	10990	17000
0.007671	11000	17000
0.007699	11010	17000
0.007726	11010	17000
0.007754	11020	17000
0.007782	11030	17000
0.007809	11040	17000
0.007837	11040	17000
0.007864	11050	17000
0.007891	11060	17000
0.007919	11060	17000
0.007946	11070	17000
0.007974	11080	17000
0.008001	11080	17000
0.008028	11090	17000
0.008055	11100	17000
0.008083	11110	17000
0.00811	11110	17000
0.008137	11120	17000
0.008164	11130	17000
0.008192	11130	17000
0.008219	11140	17000
0.008246	11150	17000
0.008273	11150	17000
0.0083	11160	17000
0.008327	11170	17000
0.008354	11180	17000
0.008381	11180	17000
0.008408	11190	17000
0.008435	11200	17000
0.008462	11200	17000
0.008489	11210	17000
0.008516	11220	17000
0.008543	11230	17000
0.00857	11230	17000
0.008597	11240	17000
0.008624	11250	17000
0.008651	11260	17000
0.008677	11260	17000
0.008704	11270	17000
0.008731	11280	17000
0.008758	11280	17000
0.008785	11290	17000
0.008812	11300	17000
0.008838	11310	17000
0.008865	11310	17000
0.008892	11320	17000
0.008919	11330	17000
0.008946	11340	17000
0.008972	11340	17000
0.008999	11350	17000
0.009026	11360	17000
0.009053	11370	17000
0.009079	11370	17000
0.009106	11380	17000
0.009133	11390	17000
0.009159	11390	17000
0.009186	11400	17000
0.009213	11410	17000
0.009239	11420	17000
0.009266	11420	17000
0.009293	11430	17000
0.009319	11440	17000
0.009346	11450	17000
0.009373	11450	17000
0.009399	11460	17000
0.009426	11470	17000
0.009453	11480	17000
0.009479	11490	17000
0.009506	11490	17000
0.009533	11500	17000
0.009559	11510	17000
0.009586	11520	17000
0.009613	11520	17000
0.009639	11530	17000
0.009666	11540	17000
0.009693	11550	17000
0.009719	11550	17000
0.009746	11560	17000
0.009773	11570	17000
0.009799	11580	17000
0.009826	11580	17000
0.009853	11590	17000
0.009879	11600	17000
0.009906	11610	17000
0.009933	11620	17000
0.009959	11620	17000
0.009986	11630	17000
0.01001	11640	17000
0.01004	11650	17000
0.01007	11650	17000
0.01009	11660	17000
0.01012	11670	17000
0.01015	11680	17000
0.01017	11690	17000
0.0102	11690	17000
0.01023	11700	17000
0.01025	11710	17000
0.01028	11720	17000
0.01031	11730	17000
0.01033	11730	17000
0.01036	11740	17000
0.01039	11750	17000
0.01041	11760	17000
0.01044	11770	17000
0.01047	11770	17000
0.01049	11780	17000
0.01052	11790	17000
0.01055	11800	17000
0.01057	11810	17000
0.0106	11810	17000
0.01063	11820	17000
0.01066	11830	17000
0.01068	11840	17000
0.01071	11850	17000
0.01074	11850	17000
0.01076	11860	17000
0.01079	11870	17000
0.01082	11880	17000
0.01084	11890	17000
0.01087	11890	17000
0.0109	11900	17000
0.01092	11910	17000
0.01095	11920	17000
0.01098	11930	17000
0.01101	11930	17000
0.01103	11940	17000
0.01106	11950	17000
0.01109	11960	17000
0.01111	11970	17000
0.01114	11980	17000
0.01117	11980	17000
0.0112	11990	17000
0.01122	12000	17000
0.01125	12010	17000
0.01128	12020	17000
0.0113	12030	17000
0.01133	12030	17000
0.01136	12040	17000
0.01139	12050	17000
0.01141	12060	17000
0.01144	12070	17000
0.01147	12080	17000
0.0115	12080	17000
0.01152	12090	17000
0.01155	12100	17000
0.01158	12110	17000
0.01161	12120	17000
0.01163	12130	17000
0.01166	12130	17000
0.01169	12140	17000
0.01172	12150	17000
0.01174	12160	17000
0.01177	12170	17000
0.0118	12180	17000
0.01183	12190	17000
0.01185	12190	17000
0.01188	12200	17000
0.01191	12210	17000
0.01194	12220	17000
0.01197	12230	17000
0.01199	12240	17000
0.01202	12250	17000
0.01205	12250	17000
0.01208	12260	17000
0.0121	12270	17000
0.01213	12280	17000
0.01216	12290	17000
0.01219	12300	17000
0.01222	12310	17000
0.01225	12320	17000
0.01227	12320	17000
0.0123	12330	17000
0.01233	12340	17000
0.01236	12350	17000
0.01239	12360	17000
0.01241	12370	17000
0.01244	12380	17000
0.01247	12390	17000
0.0125	12390	17000
0.01253	12400	17000
0.01256	12410	17000
0.01258	12420	17000
0.01261	12430	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
0.01264	12440	17000
